85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Tuesday, September 19, 2017 14:46:36"

frequency,e',e''/e'
   2000000.0000,   5.8499,   0.6661
  61980000.0000,   3.0332,   0.0220
 121960000.0000,   2.9427,   0.0113
 181940000.0000,   2.9503,  -0.0025
 241920000.0000,   2.9231,   0.0211
 301900000.0000,   2.9224,   0.0035
 361880000.0000,   2.9211,   0.0216
 421860000.0000,   2.9309,   0.0137
 481840000.0000,   2.9206,   0.0120
 541820000.0000,   2.9228,   0.0056
 601800000.0000,   2.9127,   0.0120
 661780000.0000,   2.9110,   0.0123
 721760000.0000,   2.9326,   0.0181
 781740000.0000,   2.9197,   0.0092
 841720000.0000,   2.9250,   0.0117
 901700000.0000,   2.9101,   0.0138
 961680000.0000,   2.9132,   0.0232
1021660000.0000,   2.9092,   0.0152
1081640000.0000,   2.9082,   0.0170
1141620000.0000,   2.9082,   0.0145
1201600000.0000,   2.9013,   0.0163
1261580000.0000,   2.9052,   0.0171
1321560000.0000,   2.9218,   0.0222
1381540000.0000,   2.9187,   0.0207
1441520000.0000,   2.9140,   0.0133
1501500000.0000,   2.9136,   0.0159
1561480000.0000,   2.9039,   0.0157
1621460000.0000,   2.9007,   0.0125
1681440000.0000,   2.9048,   0.0154
1741420000.0000,   2.8995,   0.0179
1801400000.0000,   2.9098,   0.0106
1861380000.0000,   2.9114,   0.0131
1921360000.0000,   2.9169,   0.0094
1981340000.0000,   2.9280,   0.0184
2041320000.0000,   2.9497,   0.0251
2101300000.0000,   2.9252,   0.0129
2161280000.0000,   2.9326,   0.0143
2221260000.0000,   2.9333,   0.0142
2281240000.0000,   2.9501,   0.0151
2341220000.0000,   2.9433,   0.0216
2401200000.0000,   2.9517,   0.0200
2461180000.0000,   2.9508,   0.0203
2521160000.0000,   2.9441,   0.0194
2581140000.0000,   2.9566,   0.0217
2641120000.0000,   2.9674,   0.0267
2701100000.0000,   2.9582,   0.0257
2761080000.0000,   2.9661,   0.0280
2821060000.0000,   2.9501,   0.0246
2881040000.0000,   2.9628,   0.0276
2941020000.0000,   2.9606,   0.0293
3001000000.0000,   2.9645,   0.0334
3060980000.0000,   2.9732,   0.0316
3120960000.0000,   2.9781,   0.0297
3180940000.0000,   2.9757,   0.0321
3240920000.0000,   2.9888,   0.0361
3300900000.0000,   2.9809,   0.0357
3360880000.0000,   2.9870,   0.0379
3420860000.0000,   2.9885,   0.0404
3480840000.0000,   2.9878,   0.0421
3540820000.0000,   3.0030,   0.0419
3600800000.0000,   3.0042,   0.0448
3660780000.0000,   2.9899,   0.0481
3720760000.0000,   2.9886,   0.0472
3780740000.0000,   2.9968,   0.0481
3840720000.0000,   2.9917,   0.0444
3900700000.0000,   3.0033,   0.0476
3960680000.0000,   3.0029,   0.0489
4020660000.0000,   3.0078,   0.0464
4080640000.0000,   3.0194,   0.0541
4140620000.0000,   3.0129,   0.0564
4200600000.0000,   3.0159,   0.0552
4260580000.0000,   3.0150,   0.0598
4320560000.0000,   3.0265,   0.0647
4380540000.0000,   3.0264,   0.0631
4440520000.0000,   3.0197,   0.0665
4500500000.0000,   3.0213,   0.0697
4560480000.0000,   3.0206,   0.0706
4620460000.0000,   3.0161,   0.0734
4680440000.0000,   3.0032,   0.0760
4740420000.0000,   3.0085,   0.0760
4800400000.0000,   3.0155,   0.0712
4860380000.0000,   3.0197,   0.0709
4920360000.0000,   3.0288,   0.0731
4980340000.0000,   3.0203,   0.0746
5040320000.0000,   3.0272,   0.0801
5100300000.0000,   3.0408,   0.0863
5160280000.0000,   3.0236,   0.0842
5220260000.0000,   3.0336,   0.0869
5280240000.0000,   3.0275,   0.0916
5340220000.0000,   3.0239,   0.0930
5400200000.0000,   3.0287,   0.0919
5460180000.0000,   3.0119,   0.0977
5520160000.0000,   3.0144,   0.0959
5580140000.0000,   3.0140,   0.0959
5640120000.0000,   3.0156,   0.0983
5700100000.0000,   3.0231,   0.1027
5760080000.0000,   3.0284,   0.1073
5820060000.0000,   3.0334,   0.1053
5880040000.0000,   3.0233,   0.1056
5940020000.0000,   3.0215,   0.1080
6000000000.0000,   3.0137,   0.1074
