85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, September 28, 2017 13:44:39"

frequency,e',e''/e'
   2000000.0000,   7.3161,   2.2183
  61980000.0000,  12.5943,   0.0557
 121960000.0000,  12.9707,   0.0310
 181940000.0000,  13.3002,   0.0408
 241920000.0000,  13.3865,   0.0465
 301900000.0000,  13.3339,   0.0595
 361880000.0000,  13.1532,   0.0621
 421860000.0000,  12.9331,   0.0511
 481840000.0000,  12.7232,   0.0322
 541820000.0000,  12.6027,   0.0175
 601800000.0000,  12.5264,   0.0211
 661780000.0000,  12.4999,   0.0312
 721760000.0000,  12.4278,   0.0462
 781740000.0000,  12.3225,   0.0567
 841720000.0000,  12.2325,   0.0605
 901700000.0000,  12.2122,   0.0603
 961680000.0000,  12.2476,   0.0537
1021660000.0000,  12.4029,   0.0398
1081640000.0000,  12.5204,   0.0304
1141620000.0000,  12.5920,   0.0246
1201600000.0000,  12.5815,   0.0250
1261580000.0000,  12.5288,   0.0279
1321560000.0000,  12.4187,   0.0311
1381540000.0000,  12.3146,   0.0330
1441520000.0000,  12.2710,   0.0328
1501500000.0000,  12.3039,   0.0301
1561480000.0000,  12.3857,   0.0298
1621460000.0000,  12.4573,   0.0309
1681440000.0000,  12.5241,   0.0323
1741420000.0000,  12.6063,   0.0301
1801400000.0000,  12.7013,   0.0278
1861380000.0000,  12.6932,   0.0275
1921360000.0000,  12.6217,   0.0290
1981340000.0000,  12.5768,   0.0275
2041320000.0000,  12.5845,   0.0323
2101300000.0000,  12.6219,   0.0312
2161280000.0000,  12.6564,   0.0306
2221260000.0000,  12.6721,   0.0329
2281240000.0000,  12.7190,   0.0391
2341220000.0000,  12.7780,   0.0447
2401200000.0000,  12.8414,   0.0461
2461180000.0000,  12.8815,   0.0463
2521160000.0000,  12.8651,   0.0452
2581140000.0000,  12.8274,   0.0459
2641120000.0000,  12.8205,   0.0478
2701100000.0000,  12.8524,   0.0508
2761080000.0000,  12.8799,   0.0516
2821060000.0000,  12.8863,   0.0540
2881040000.0000,  12.8724,   0.0564
2941020000.0000,  12.8863,   0.0610
3001000000.0000,  12.9494,   0.0656
3060980000.0000,  12.9953,   0.0686
3120960000.0000,  12.9870,   0.0697
3180940000.0000,  12.9570,   0.0705
3240920000.0000,  12.9503,   0.0716
3300900000.0000,  12.9857,   0.0747
3360880000.0000,  12.9860,   0.0780
3420860000.0000,  12.9726,   0.0814
3480840000.0000,  12.9533,   0.0838
3540820000.0000,  12.9714,   0.0857
3600800000.0000,  13.0161,   0.0860
3660780000.0000,  13.0150,   0.0885
3720760000.0000,  12.9921,   0.0916
3780740000.0000,  13.0035,   0.0926
3840720000.0000,  13.0345,   0.0929
3900700000.0000,  13.0645,   0.0942
3960680000.0000,  13.0298,   0.0962
4020660000.0000,  12.9850,   0.1003
4080640000.0000,  13.0424,   0.1040
4140620000.0000,  13.1341,   0.1041
4200600000.0000,  13.1660,   0.1036
4260580000.0000,  13.1263,   0.1076
4320560000.0000,  13.0847,   0.1132
4380540000.0000,  13.1466,   0.1173
4440520000.0000,  13.2221,   0.1185
4500500000.0000,  13.1760,   0.1180
4560480000.0000,  13.0919,   0.1210
4620460000.0000,  13.0786,   0.1263
4680440000.0000,  13.1726,   0.1309
4740420000.0000,  13.2590,   0.1320
4800400000.0000,  13.2272,   0.1328
4860380000.0000,  13.1460,   0.1373
4920360000.0000,  13.1709,   0.1428
4980340000.0000,  13.2981,   0.1467
5040320000.0000,  13.3428,   0.1484
5100300000.0000,  13.2680,   0.1508
5160280000.0000,  13.1367,   0.1534
5220260000.0000,  13.1232,   0.1588
5280240000.0000,  13.1952,   0.1623
5340220000.0000,  13.1605,   0.1652
5400200000.0000,  13.0682,   0.1692
5460180000.0000,  13.0499,   0.1752
5520160000.0000,  13.1326,   0.1799
5580140000.0000,  13.2497,   0.1854
5640120000.0000,  13.2669,   0.1856
5700100000.0000,  13.1553,   0.1857
5760080000.0000,  13.1610,   0.1864
5820060000.0000,  13.2275,   0.1867
5880040000.0000,  13.2257,   0.1856
5940020000.0000,  13.1099,   0.1868
6000000000.0000,  12.9652,   0.1882
