85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Tuesday, September 19, 2017 14:20:28"

frequency,e',e''/e'
   2000000.0000,9999.0000,   1.0000
  61980000.0000,   2.0437,  -0.0073
 121960000.0000,   2.2256,   0.0086
 181940000.0000,   2.1954,   0.0273
 241920000.0000,   2.1840,   0.0142
 301900000.0000,   2.2113,   0.0129
 361880000.0000,   2.2218,   0.0157
 421860000.0000,   2.2138,   0.0008
 481840000.0000,   2.2269,  -0.0026
 541820000.0000,   2.2252,   0.0088
 601800000.0000,   2.2246,   0.0198
 661780000.0000,   2.2340,   0.0216
 721760000.0000,   2.2430,   0.0011
 781740000.0000,   2.2385,   0.0010
 841720000.0000,   2.2399,  -0.0043
 901700000.0000,   2.2353,  -0.0003
 961680000.0000,   2.2492,   0.0068
1021660000.0000,   2.2330,   0.0134
1081640000.0000,   2.2347,   0.0031
1141620000.0000,   2.2427,   0.0059
1201600000.0000,   2.2391,   0.0016
1261580000.0000,   2.2504,   0.0037
1321560000.0000,   2.2452,   0.0084
1381540000.0000,   2.2496,   0.0067
1441520000.0000,   2.2477,   0.0071
1501500000.0000,   2.2370,   0.0038
1561480000.0000,   2.2377,   0.0028
1621460000.0000,   2.2378,   0.0017
1681440000.0000,   2.2492,   0.0048
1741420000.0000,   2.2400,   0.0012
1801400000.0000,   2.2535,   0.0020
1861380000.0000,   2.2574,   0.0015
1921360000.0000,   2.2446,   0.0045
1981340000.0000,   2.2635,   0.0086
2041320000.0000,   2.2446,  -0.0064
2101300000.0000,   2.2742,   0.0057
2161280000.0000,   2.2692,   0.0038
2221260000.0000,   2.2734,   0.0037
2281240000.0000,   2.2747,   0.0045
2341220000.0000,   2.2627,   0.0026
2401200000.0000,   2.2828,  -0.0002
2461180000.0000,   2.2754,   0.0017
2521160000.0000,   2.2830,   0.0044
2581140000.0000,   2.2833,   0.0066
2641120000.0000,   2.2793,   0.0050
2701100000.0000,   2.2935,   0.0104
2761080000.0000,   2.2931,   0.0096
2821060000.0000,   2.3023,   0.0107
2881040000.0000,   2.2868,   0.0125
2941020000.0000,   2.2877,   0.0109
3001000000.0000,   2.2788,   0.0141
3060980000.0000,   2.2929,   0.0118
3120960000.0000,   2.2949,   0.0129
3180940000.0000,   2.3000,   0.0137
3240920000.0000,   2.3125,   0.0146
3300900000.0000,   2.3025,   0.0179
3360880000.0000,   2.3074,   0.0160
3420860000.0000,   2.3107,   0.0194
3480840000.0000,   2.3107,   0.0168
3540820000.0000,   2.3126,   0.0200
3600800000.0000,   2.3259,   0.0247
3660780000.0000,   2.3209,   0.0251
3720760000.0000,   2.3257,   0.0260
3780740000.0000,   2.3114,   0.0286
3840720000.0000,   2.3098,   0.0278
3900700000.0000,   2.3094,   0.0256
3960680000.0000,   2.3142,   0.0271
4020660000.0000,   2.3033,   0.0285
4080640000.0000,   2.3236,   0.0315
4140620000.0000,   2.3235,   0.0303
4200600000.0000,   2.3348,   0.0292
4260580000.0000,   2.3303,   0.0310
4320560000.0000,   2.3775,   0.0325
4380540000.0000,   2.3413,   0.0365
4440520000.0000,   2.3320,   0.0380
4500500000.0000,   2.3422,   0.0378
4560480000.0000,   2.3400,   0.0379
4620460000.0000,   2.3397,   0.0409
4680440000.0000,   2.3573,   0.0469
4740420000.0000,   2.3393,   0.0473
4800400000.0000,   2.3285,   0.0447
4860380000.0000,   2.3280,   0.0446
4920360000.0000,   2.3224,   0.0459
4980340000.0000,   2.3249,   0.0449
5040320000.0000,   2.3355,   0.0491
5100300000.0000,   2.3435,   0.0494
5160280000.0000,   2.3434,   0.0492
5220260000.0000,   2.3398,   0.0496
5280240000.0000,   2.3458,   0.0485
5340220000.0000,   2.3457,   0.0531
5400200000.0000,   2.3493,   0.0595
5460180000.0000,   2.3292,   0.0616
5520160000.0000,   2.3360,   0.0591
5580140000.0000,   2.3424,   0.0624
5640120000.0000,   2.3507,   0.0606
5700100000.0000,   2.3493,   0.0617
5760080000.0000,   2.3515,   0.0613
5820060000.0000,   2.3516,   0.0623
5880040000.0000,   2.3466,   0.0649
5940020000.0000,   2.3535,   0.0683
6000000000.0000,   2.3458,   0.0649
