85070 Dielectric Probe Software E07.02.29,,,
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Free Two Week Trial,,
Sub Title:,Go to 'http://na.tm.agilent.com/materials/' for details.,,
Date:,"Friday, June 09, 2017 13:50:09",,
,,,
frequency,e',e''/e',sensitivity
2000000,2.2769,0.6886,1760.4928
61980000,1.9607,0.1354,863.7216
121960000,2.142,0.0841,671.3116
181940000,2.2816,0.0757,546.0784
241920000,2.3375,0.0899,457.4434
301900000,2.4189,0.0813,393.4822
361880000,2.4856,0.0754,344.9005
421860000,2.5212,0.076,306.669
481840000,2.5229,0.0637,275.5574
541820000,2.5437,0.0497,250.3286
601800000,2.5665,0.0519,229.5056
661780000,2.5929,0.0547,211.9253
721760000,2.6095,0.0483,196.7432
781740000,2.6,0.0447,183.5042
841720000,2.6005,0.033,171.9313
901700000,2.6209,0.0309,161.8651
961680000,2.6266,0.0366,152.9175
1021660000,2.6322,0.0361,144.8863
1081640000,2.6327,0.0223,137.5888
1141620000,2.6412,0.0182,131.056
1201600000,2.6457,0.0153,125.1179
1261580000,2.6241,0.0253,119.6978
1321560000,2.6238,0.0248,114.7371
1381540000,2.6537,0.0163,110.1994
1441520000,2.6744,0.009,105.9985
1501500000,2.6682,0.0049,102.0796
1561480000,2.6472,0.0106,98.4536
1621460000,2.6448,0.0169,95.11
1681440000,2.6482,0.0124,91.9631
1741420000,2.6809,-0.0017,89.0262
1801400000,2.669,0.0045,86.2822
1861380000,2.6567,0.0048,83.6874
1921360000,2.6292,0.0067,81.2342
1981340000,2.6607,0.0057,78.9776
2041320000,2.6812,0.0042,76.8333
2101300000,2.6671,0.0013,74.7666
2161280000,2.6419,-0.0033,72.7941
2221260000,2.6235,-0.0048,70.9381
2281240000,2.6461,-0.0037,69.2188
2341220000,2.6668,-0.0044,67.5774
2401200000,2.6622,-0.0094,65.9814
2461180000,2.6446,-0.0107,64.459
2521160000,2.6361,-0.0135,63.009
2581140000,2.6442,-0.0111,61.6504
2641120000,2.6548,-0.0091,60.3517
2701100000,2.6643,-0.0139,59.0901
2761080000,2.6456,-0.0123,57.8773
2821060000,2.6273,-0.017,56.6988
2881040000,2.6419,-0.0181,55.5983
2941020000,2.6663,-0.0239,54.5355
3001000000,2.6549,-0.0274,53.4964
3060980000,2.6443,-0.0204,52.5227
3120960000,2.6386,-0.0208,51.5707
3180940000,2.6547,-0.0225,50.6629
3240920000,2.6668,-0.0242,49.7851
3300900000,2.6703,-0.0247,48.9359
3360880000,2.6419,-0.0209,48.1087
3420860000,2.6516,-0.0224,47.3181
3480840000,2.6594,-0.0236,46.5535
3540820000,2.6687,-0.0236,45.8177
3600800000,2.6619,-0.0264,45.0901
3660780000,2.6234,-0.0207,44.3891
3720760000,2.6299,-0.026,43.7078
3780740000,2.6502,-0.0262,43.0663
3840720000,2.6652,-0.0338,42.4237
3900700000,2.6377,-0.036,41.7917
3960680000,2.6207,-0.0305,41.2014
4020660000,2.6393,-0.025,40.6457
4080640000,2.6532,-0.0408,40.0542
4140620000,2.6751,-0.0366,39.5288
4200600000,2.6356,-0.041,38.97
4260580000,2.6199,-0.0355,38.4597
4320560000,2.6722,-0.0407,37.9696
4380540000,2.687,-0.0338,37.5036
4440520000,2.6733,-0.0412,37.0045
4500500000,2.6437,-0.0399,36.5314
4560480000,2.6269,-0.0354,36.0831
4620460000,2.6446,-0.0347,35.6522
4680440000,2.6603,-0.0403,35.2171
4740420000,2.6527,-0.0444,34.7862
4800400000,2.6268,-0.0408,34.3753
4860380000,2.6192,-0.0441,33.9666
4920360000,2.6541,-0.0441,33.5918
4980340000,2.6699,-0.046,33.2138
5040320000,2.6603,-0.0501,32.8297
5100300000,2.6306,-0.0458,32.4653
5160280000,2.6458,-0.0411,32.1274
5220260000,2.6564,-0.0466,31.7728
5280240000,2.6752,-0.0505,31.4323
5340220000,2.6559,-0.0509,31.0931
5400200000,2.6152,-0.0439,30.7693
5460180000,2.622,-0.0396,30.4642
5520160000,2.6443,-0.0498,30.1396
5580140000,2.6593,-0.0528,29.8343
5640120000,2.6495,-0.0545,29.5295
5700100000,2.626,-0.0492,29.2413
5760080000,2.6528,-0.0528,28.9573
5820060000,2.6667,-0.053,28.682
5880040000,2.6691,-0.0603,28.3922
5940020000,2.6509,-0.0564,28.1256
6000000000,2.6277,-0.0554,27.8563
,2.61639802,,
