85070 Dielectric Probe Software E07.02.29,,,
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Free Two Week Trial,,
Sub Title:,Go to 'http://na.tm.agilent.com/materials/' for details.,,
Date:,"Friday, June 09, 2017 17:00:42",,
,,,
frequency,e',e''/e',
2000000,9999,1,
61980000,3.0146,0.1592,
121960000,3.0274,0.251,
181940000,3.1174,0.1571,
241920000,3.118,0.0616,
301900000,3.0695,0.0092,
361880000,3.0206,0.0203,
421860000,3.0001,0.0727,
481840000,3.0358,0.0848,
541820000,3.0875,0.0558,
601800000,3.0858,0.0309,
661780000,3.048,0.0196,
721760000,3.0224,0.0454,
781740000,3.0351,0.0455,
841720000,3.0939,0.0447,
901700000,3.0872,0.0327,
961680000,3.0672,0.012,
1021660000,3.0282,0.0181,
1081640000,3.0422,0.0382,
1141620000,3.0642,0.0459,
1201600000,3.0787,0.0415,
1261580000,3.0725,0.0314,
1321560000,3.035,0.0204,
1381540000,3.0239,0.0296,
1441520000,3.0349,0.0461,
1501500000,3.0502,0.0431,
1561480000,3.0504,0.0342,
1621460000,3.0425,0.0131,
1681440000,3.0456,0.0169,
1741420000,3.0508,0.024,
1801400000,3.0533,0.0349,
1861380000,3.0832,0.0325,
1921360000,3.0687,0.0255,
1981340000,3.0675,0.0194,
2041320000,3.0519,0.0254,
2101300000,3.06,0.0331,
2161280000,3.0703,0.0386,
2221260000,3.0801,0.0314,
2281240000,3.0765,0.0251,
2341220000,3.0706,0.024,
2401200000,3.0502,0.0288,
2461180000,3.0685,0.0337,
2521160000,3.086,0.0318,
2581140000,3.0997,0.0285,
2641120000,3.0879,0.019,
2701100000,3.0928,0.0267,
2761080000,3.0867,0.0364,
2821060000,3.1007,0.0433,
2881040000,3.1045,0.0394,
2941020000,3.1091,0.0307,
3001000000,3.1,0.0291,
3060980000,3.096,0.034,
3120960000,3.0998,0.0394,
3180940000,3.1154,0.046,
3240920000,3.1095,0.0442,
3300900000,3.1101,0.0378,
3360880000,3.114,0.0363,
3420860000,3.1126,0.045,
3480840000,3.124,0.0504,
3540820000,3.1219,0.0548,
3600800000,3.1434,0.0532,
3660780000,3.1342,0.0474,
3720760000,3.1268,0.0497,
3780740000,3.1133,0.0531,
3840720000,3.1259,0.0589,
3900700000,3.1289,0.0587,
3960680000,3.1461,0.0502,
4020660000,3.1241,0.0509,
4080640000,3.1282,0.0586,
4140620000,3.1385,0.0619,
4200600000,3.1581,0.0621,
4260580000,3.1654,0.0598,
4320560000,3.1332,0.0569,
4380540000,3.1712,0.0618,
4440520000,3.1668,0.0654,
4500500000,3.1629,0.0731,
4560480000,3.1711,0.073,
4620460000,3.1603,0.0709,
4680440000,3.1473,0.074,
4740420000,3.1479,0.0766,
4800400000,3.1568,0.0841,
4860380000,3.1611,0.0781,
4920360000,3.1501,0.0773,
4980340000,3.1631,0.0795,
5040320000,3.1648,0.0839,
5100300000,3.1972,0.0844,
5160280000,3.1648,0.0864,
5220260000,3.1801,0.0916,
5280240000,3.1893,0.0939,
5340220000,3.1858,0.0941,
5400200000,3.192,0.0975,
5460180000,3.1753,0.1028,
5520160000,3.1791,0.1053,
5580140000,3.1844,0.1088,
5640120000,3.1924,0.1032,
5700100000,3.1798,0.1028,
5760080000,3.1639,0.1066,
5820060000,3.1697,0.118,
5880040000,3.1703,0.1191,
5940020000,3.1901,0.1169,
6000000000,3.1952,0.115,
,3.1082,,
