85070 Dielectric Probe Software E07.02.29,,,
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Free Two Week Trial,,
Sub Title:,Go to 'http://na.tm.agilent.com/materials/' for details.,,
Date:,"Monday, June 12, 2017 15:19:37",,
,,,
frequency,e',e''/e',
2000000,1.4697,-11.0028,
61980000,2.0233,0.419,
121960000,2.3966,0.565,
181940000,2.797,0.352,
241920000,2.8682,0.0838,
301900000,2.672,-0.0208,
361880000,2.5034,0.0367,
421860000,2.5181,0.1302,
481840000,2.6443,0.1652,
541820000,2.7685,0.108,
601800000,2.749,0.0251,
661780000,2.702,0.0086,
721760000,2.6611,0.0635,
781740000,2.6777,0.107,
841720000,2.7434,0.1057,
901700000,2.7736,0.0605,
961680000,2.6975,0.0129,
1021660000,2.6583,0.0216,
1081640000,2.6512,0.0673,
1141620000,2.7191,0.0871,
1201600000,2.7898,0.066,
1261580000,2.7746,0.0337,
1321560000,2.7171,0.0061,
1381540000,2.6611,0.0447,
1441520000,2.698,0.0912,
1501500000,2.7409,0.0862,
1561480000,2.7701,0.0628,
1621460000,2.7306,0.0328,
1681440000,2.6994,0.0289,
1741420000,2.7052,0.0544,
1801400000,2.7109,0.0837,
1861380000,2.7494,0.069,
1921360000,2.7371,0.0442,
1981340000,2.7117,0.0333,
2041320000,2.6818,0.0597,
2101300000,2.6908,0.0678,
2161280000,2.7366,0.0767,
2221260000,2.7618,0.0548,
2281240000,2.7427,0.0357,
2341220000,2.6796,0.0356,
2401200000,2.6776,0.0539,
2461180000,2.7045,0.0688,
2521160000,2.7521,0.0645,
2581140000,2.7686,0.0493,
2641120000,2.7235,0.0306,
2701100000,2.7159,0.0439,
2761080000,2.7136,0.0661,
2821060000,2.7466,0.0748,
2881040000,2.7799,0.0646,
2941020000,2.774,0.0465,
3001000000,2.7313,0.0398,
3060980000,2.7199,0.0524,
3120960000,2.7469,0.0687,
3180940000,2.7873,0.0767,
3240920000,2.7778,0.0622,
3300900000,2.7696,0.0539,
3360880000,2.7289,0.0585,
3420860000,2.7224,0.077,
3480840000,2.7664,0.0902,
3540820000,2.7942,0.0836,
3600800000,2.7866,0.0705,
3660780000,2.7754,0.0643,
3720760000,2.7357,0.0704,
3780740000,2.7611,0.085,
3840720000,2.7635,0.0923,
3900700000,2.759,0.0839,
3960680000,2.7612,0.0701,
4020660000,2.7418,0.0691,
4080640000,2.753,0.0845,
4140620000,2.7783,0.0946,
4200600000,2.797,0.0936,
4260580000,2.7946,0.0826,
4320560000,2.8357,0.0777,
4380540000,2.8105,0.096,
4440520000,2.7554,0.1076,
4500500000,2.7803,0.1023,
4560480000,2.7807,0.0984,
4620460000,2.7814,0.1009,
4680440000,2.7795,0.1058,
4740420000,2.7663,0.1057,
4800400000,2.7615,0.1084,
4860380000,2.7636,0.1055,
4920360000,2.768,0.1045,
4980340000,2.7698,0.0999,
5040320000,2.7732,0.11,
5100300000,2.7779,0.1146,
5160280000,2.8065,0.1189,
5220260000,2.8147,0.1232,
5280240000,2.8003,0.1203,
5340220000,2.7746,0.1173,
5400200000,2.752,0.124,
5460180000,2.7643,0.1423,
5520160000,2.7906,0.1415,
5580140000,2.7964,0.1401,
5640120000,2.788,0.129,
5700100000,2.7693,0.1324,
5760080000,2.7633,0.1466,
5820060000,2.7868,0.1531,
5880040000,2.7939,0.1475,
5940020000,2.7692,0.1438,
6000000000,2.7471,0.1462,
,2.72190297,,
