85070 Dielectric Probe Software E07.02.29,,,
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Free Two Week Trial,,
Sub Title:,Go to 'http://na.tm.agilent.com/materials/' for details.,,
Date:,"Friday, June 09, 2017 16:33:15",,
,,,
frequency,e',e''/e',
2000000,51.2485,-0.2068,
61980000,4.6148,-0.3373,
121960000,3.6252,-0.3484,
181940000,3.2067,-0.2149,
241920000,3.0362,-0.0652,
301900000,3.093,-0.0218,
361880000,3.17,-0.0683,
421860000,3.072,-0.1028,
481840000,2.9247,-0.0981,
541820000,2.8756,-0.035,
601800000,2.8806,-0.0029,
661780000,2.9345,-0.015,
721760000,2.9467,-0.0457,
781740000,2.8751,-0.0558,
841720000,2.8432,-0.0389,
901700000,2.8551,-0.0089,
961680000,2.8886,0.0018,
1021660000,2.8971,-0.0065,
1081640000,2.8494,-0.0306,
1141620000,2.8048,-0.0355,
1201600000,2.8117,-0.0217,
1261580000,2.8344,0.0069,
1321560000,2.8663,0.0006,
1381540000,2.8657,-0.0217,
1441520000,2.8842,-0.045,
1501500000,2.8402,-0.0379,
1561480000,2.8077,-0.0119,
1621460000,2.8311,0.0077,
1681440000,2.8658,-0.0059,
1741420000,2.8787,-0.0197,
1801400000,2.8613,-0.0347,
1861380000,2.8111,-0.0156,
1921360000,2.8216,0.0106,
1981340000,2.8566,0.0108,
2041320000,2.8937,-0.0056,
2101300000,2.8577,-0.019,
2161280000,2.7926,-0.0136,
2221260000,2.7847,0.0031,
2281240000,2.8356,0.0124,
2341220000,2.9187,-0.0007,
2401200000,2.9025,-0.0099,
2461180000,2.8364,-0.0183,
2521160000,2.8002,-0.0085,
2581140000,2.8209,0.0075,
2641120000,2.8725,0.0145,
2701100000,2.8759,0.0051,
2761080000,2.8466,-0.0054,
2821060000,2.813,-0.0082,
2881040000,2.8335,0.0007,
2941020000,2.8911,0.0101,
3001000000,2.9027,0.0121,
3060980000,2.866,0.0065,
3120960000,2.8201,0.0012,
3180940000,2.8349,0.0028,
3240920000,2.893,0.0108,
3300900000,2.8912,0.0169,
3360880000,2.8724,0.0185,
3420860000,2.8748,0.0102,
3480840000,2.9152,0.0084,
3540820000,2.9329,0.0108,
3600800000,2.8898,0.022,
3660780000,2.8216,0.0308,
3720760000,2.838,0.0279,
3780740000,2.9247,0.0183,
3840720000,2.9585,0.0106,
3900700000,2.8748,0.0227,
3960680000,2.8271,0.033,
4020660000,2.8935,0.0402,
4080640000,2.9886,0.021,
4140620000,2.9756,0.0168,
4200600000,2.8521,0.0227,
4260580000,2.8071,0.0413,
4320560000,2.9208,0.0422,
4380540000,3.0191,0.0169,
4440520000,2.9821,0.0198,
4500500000,2.865,0.0302,
4560480000,2.8421,0.0509,
4620460000,2.9545,0.0537,
4680440000,3.0482,0.0497,
4740420000,2.9617,0.0401,
4800400000,2.8306,0.0432,
4860380000,2.843,0.0527,
4920360000,2.9675,0.0552,
4980340000,3.06,0.0544,
5040320000,2.9652,0.049,
5100300000,2.8386,0.0519,
5160280000,2.8554,0.058,
5220260000,2.9813,0.0587,
5280240000,3.0114,0.0627,
5340220000,2.9246,0.0657,
5400200000,2.8601,0.0667,
5460180000,2.9206,0.0676,
5520160000,2.9865,0.0614,
5580140000,2.9665,0.0669,
5640120000,2.8803,0.0766,
5700100000,2.8745,0.0768,
5760080000,2.9488,0.0742,
5820060000,3.0203,0.0702,
5880040000,2.9625,0.0704,
5940020000,2.8578,0.0838,
6000000000,2.8679,0.0926,
,3.401240594,,
