85070 Dielectric Probe Software E07.02.29,,,
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Free Two Week Trial,,
Sub Title:,Go to 'http://na.tm.agilent.com/materials/' for details.,,
Date:,"Monday, June 12, 2017 15:23:22",,
,,,
frequency,e',e''/e',
2000000,6.8699,-4.8836,
61980000,2.5752,0.4183,
121960000,3.1416,0.6171,
181940000,3.6361,0.3734,
241920000,3.6498,0.0923,
301900000,3.3821,-0.0383,
361880000,3.1257,0.034,
421860000,3.0655,0.1373,
481840000,3.2351,0.1808,
541820000,3.3725,0.104,
601800000,3.3544,0.0162,
661780000,3.2394,-0.0036,
721760000,3.1717,0.0539,
781740000,3.1975,0.1125,
841720000,3.2986,0.1067,
901700000,3.321,0.0525,
961680000,3.2552,0.0126,
1021660000,3.1712,0.0162,
1081640000,3.1417,0.0639,
1141620000,3.2434,0.0891,
1201600000,3.3407,0.0636,
1261580000,3.3036,0.027,
1321560000,3.2272,0,
1381540000,3.1711,0.0357,
1441520000,3.2044,0.087,
1501500000,3.2813,0.0853,
1561480000,3.3084,0.054,
1621460000,3.2522,0.0202,
1681440000,3.2032,0.022,
1741420000,3.1944,0.0596,
1801400000,3.2348,0.0828,
1861380000,3.301,0.0672,
1921360000,3.2862,0.0376,
1981340000,3.2254,0.0233,
2041320000,3.1471,0.0483,
2101300000,3.204,0.0755,
2161280000,3.2709,0.0775,
2221260000,3.3066,0.0527,
2281240000,3.2759,0.0285,
2341220000,3.2005,0.028,
2401200000,3.1902,0.0512,
2461180000,3.2273,0.0693,
2521160000,3.292,0.0656,
2581140000,3.3115,0.0459,
2641120000,3.2714,0.0316,
2701100000,3.2283,0.039,
2761080000,3.2371,0.0653,
2821060000,3.2943,0.0734,
2881040000,3.3364,0.0629,
2941020000,3.3118,0.0443,
3001000000,3.2545,0.0342,
3060980000,3.2384,0.0515,
3120960000,3.2818,0.0725,
3180940000,3.3328,0.0775,
3240920000,3.3498,0.0625,
3300900000,3.3273,0.0491,
3360880000,3.2559,0.0524,
3420860000,3.2713,0.0725,
3480840000,3.3194,0.0903,
3540820000,3.3532,0.0867,
3600800000,3.3534,0.0699,
3660780000,3.3164,0.0617,
3720760000,3.2769,0.0741,
3780740000,3.2983,0.0893,
3840720000,3.3126,0.0949,
3900700000,3.3126,0.0846,
3960680000,3.295,0.0695,
4020660000,3.2987,0.0739,
4080640000,3.3038,0.0929,
4140620000,3.3374,0.0979,
4200600000,3.3392,0.0922,
4260580000,3.3427,0.0828,
4320560000,3.3856,0.0829,
4380540000,3.326,0.0923,
4440520000,3.3319,0.1054,
4500500000,3.3358,0.1012,
4560480000,3.332,0.0989,
4620460000,3.3323,0.1046,
4680440000,3.3381,0.1072,
4740420000,3.326,0.1105,
4800400000,3.3134,0.1113,
4860380000,3.3169,0.1083,
4920360000,3.3278,0.1107,
4980340000,3.3293,0.1047,
5040320000,3.3311,0.1143,
5100300000,3.3243,0.1164,
5160280000,3.3755,0.1228,
5220260000,3.3913,0.1263,
5280240000,3.3733,0.1231,
5340220000,3.3302,0.124,
5400200000,3.3033,0.1286,
5460180000,3.3465,0.1425,
5520160000,3.3692,0.1473,
5580140000,3.376,0.1428,
5640120000,3.3482,0.1342,
5700100000,3.3388,0.1386,
5760080000,3.3493,0.1548,
5820060000,3.3909,0.159,
5880040000,3.3741,0.1528,
5940020000,3.3326,0.1497,
6000000000,3.3019,0.1584,
,3.324849505,,
