85070 Dielectric Probe Software E07.02.29,,,
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Free Two Week Trial,,
Sub Title:,Go to 'http://na.tm.agilent.com/materials/' for details.,,
Date:,"Friday, June 09, 2017 15:21:04",,
,,,
frequency,e',e''/e',sensitivity
2000000,2.2201,-0.5689,1683.9705
61980000,1.7352,0.0407,821.7764
121960000,1.9004,0.0974,651.6298
181940000,2.0227,0.0925,533.5968
241920000,2.1253,0.0873,450.2092
301900000,2.1939,0.0767,388.023
361880000,2.2161,0.0574,339.7921
421860000,2.2283,0.0623,302.3972
481840000,2.2566,0.0628,272.5781
541820000,2.3197,0.0562,248.3773
601800000,2.348,0.0556,227.8995
661780000,2.3373,0.0475,210.2251
721760000,2.2999,0.0431,194.9716
781740000,2.3081,0.0392,182.0328
841720000,2.3937,0.0308,171.0403
901700000,2.4162,0.0355,161.122
961680000,2.388,0.0354,152.0984
1021660000,2.3469,0.0267,143.951
1081640000,2.3618,0.0276,136.8461
1141620000,2.4201,0.0233,130.5149
1201600000,2.4266,0.026,124.6484
1261580000,2.3881,0.0217,119.1624
1321560000,2.349,0.0265,114.172
1381540000,2.386,0.0254,109.7222
1441520000,2.4353,0.0137,105.596
1501500000,2.4307,0.0134,101.7164
1561480000,2.3901,0.0117,98.0499
1621460000,2.3414,0.0109,94.6283
1681440000,2.3865,0.0107,91.5842
1741420000,2.4347,0.0004,88.7069
1801400000,2.4418,0.0023,85.9881
1861380000,2.3926,-0.0014,83.3453
1921360000,2.3555,-0.0014,80.8842
1981340000,2.4018,-0.0008,78.6676
2041320000,2.4533,0.0079,76.6008
2101300000,2.4421,0.0009,74.5339
2161280000,2.391,-0.0026,72.5434
2221260000,2.3602,-0.0017,70.6877
2281240000,2.3989,-0.0022,68.9913
2341220000,2.4255,-0.001,67.3695
2401200000,2.4249,-0.005,65.7865
2461180000,2.3776,-0.0105,64.2315
2521160000,2.3645,-0.0121,62.787
2581140000,2.3968,-0.0094,61.4555
2641120000,2.4472,-0.0078,60.1942
2701100000,2.423,-0.0118,58.9133
2761080000,2.3768,-0.0127,57.6758
2821060000,2.3647,-0.0136,56.5149
2881040000,2.4012,-0.012,55.4432
2941020000,2.4382,-0.0116,54.4103
3001000000,2.4198,-0.0139,53.3718
3060980000,2.3714,-0.0216,52.3391
3120960000,2.3618,-0.0219,51.3878
3180940000,2.4024,-0.0192,50.5112
3240920000,2.4345,-0.0223,49.6473
3300900000,2.4185,-0.0231,48.7881
3360880000,2.3673,-0.0258,47.9322
3420860000,2.3541,-0.0249,47.1362
3480840000,2.4144,-0.0216,46.4171
3540820000,2.4346,-0.0197,45.6946
3600800000,2.4267,-0.0204,44.9732
3660780000,2.3658,-0.0256,44.2344
3720760000,2.3587,-0.0236,43.5645
3780740000,2.4054,-0.0208,42.9473
3840720000,2.435,-0.0252,42.3238
3900700000,2.3978,-0.0312,41.6793
3960680000,2.3544,-0.0369,41.0508
4020660000,2.3658,-0.0317,40.4919
4080640000,2.4188,-0.031,39.9615
4140620000,2.4378,-0.0341,39.4201
4200600000,2.3934,-0.0404,38.8558
4260580000,2.3578,-0.0383,38.3279
4320560000,2.3541,-0.034,37.8348
4380540000,2.4311,-0.0326,37.3883
4440520000,2.4422,-0.0382,36.9071
4500500000,2.3967,-0.0376,36.4248
4560480000,2.3635,-0.0416,35.9507
4620460000,2.3878,-0.0335,35.5399
4680440000,2.4175,-0.0344,35.1239
4740420000,2.4301,-0.0335,34.7139
4800400000,2.3785,-0.0366,34.277
4860380000,2.3544,-0.0471,33.8475
4920360000,2.3913,-0.043,33.4842
4980340000,2.4219,-0.0442,33.1159
5040320000,2.4258,-0.0405,32.7551
5100300000,2.3911,-0.0415,32.3765
5160280000,2.3683,-0.0473,32.0018
5220260000,2.389,-0.0474,31.6647
5280240000,2.4267,-0.0418,31.3538
5340220000,2.4253,-0.0438,31.0187
5400200000,2.3779,-0.0455,30.6724
5460180000,2.3653,-0.0451,30.352
5520160000,2.3943,-0.0457,30.0528
5580140000,2.4176,-0.0449,29.7602
5640120000,2.413,-0.0463,29.4588
5700100000,2.3725,-0.0523,29.1402
5760080000,2.3693,-0.0516,28.8555
5820060000,2.396,-0.0501,28.5894
5880040000,2.4233,-0.0479,28.3306
5940020000,2.4164,-0.0497,28.056
6000000000,2.3705,-0.0546,27.7663
,2.367246535,,
