85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Tuesday, September 19, 2017 13:50:22"

frequency,e',e''/e'
   2000000.0000,   0.6724,  15.7453
  61980000.0000,   3.4317,   0.0501
 121960000.0000,   3.3050,  -0.0677
 181940000.0000,   3.3114,  -0.0795
 241920000.0000,   3.2731,  -0.0833
 301900000.0000,   3.3337,  -0.0676
 361880000.0000,   3.4199,  -0.0291
 421860000.0000,   3.5363,  -0.0411
 481840000.0000,   3.5849,  -0.0277
 541820000.0000,   3.5110,  -0.0077
 601800000.0000,   3.4194,   0.0179
 661780000.0000,   3.4535,   0.0121
 721760000.0000,   3.5358,   0.0082
 781740000.0000,   3.5789,  -0.0114
 841720000.0000,   3.5697,  -0.0247
 901700000.0000,   3.6010,  -0.0146
 961680000.0000,   3.6642,  -0.0078
1021660000.0000,   3.6999,  -0.0051
1081640000.0000,   3.6634,   0.0057
1141620000.0000,   3.5392,   0.0008
1201600000.0000,   3.4731,   0.0067
1261580000.0000,   3.5113,   0.0208
1321560000.0000,   3.5992,   0.0180
1381540000.0000,   3.6654,   0.0253
1441520000.0000,   3.6371,   0.0217
1501500000.0000,   3.5858,   0.0245
1561480000.0000,   3.5931,   0.0264
1621460000.0000,   3.6224,   0.0213
1681440000.0000,   3.6219,   0.0169
1741420000.0000,   3.5898,   0.0101
1801400000.0000,   3.5390,   0.0102
1861380000.0000,   3.5961,   0.0083
1921360000.0000,   3.6804,   0.0076
1981340000.0000,   3.7263,   0.0075
2041320000.0000,   3.7080,   0.0190
2101300000.0000,   3.6040,   0.0141
2161280000.0000,   3.5985,   0.0167
2221260000.0000,   3.6209,   0.0150
2281240000.0000,   3.6571,   0.0154
2341220000.0000,   3.6282,   0.0136
2401200000.0000,   3.6291,   0.0160
2461180000.0000,   3.6603,   0.0110
2521160000.0000,   3.7164,   0.0122
2581140000.0000,   3.7198,   0.0127
2641120000.0000,   3.6693,   0.0112
2701100000.0000,   3.6307,   0.0173
2761080000.0000,   3.6612,   0.0255
2821060000.0000,   3.7418,   0.0386
2881040000.0000,   3.7455,   0.0462
2941020000.0000,   3.6713,   0.0432
3001000000.0000,   3.6028,   0.0377
3060980000.0000,   3.5879,   0.0323
3120960000.0000,   3.6212,   0.0273
3180940000.0000,   3.6392,   0.0256
3240920000.0000,   3.6123,   0.0207
3300900000.0000,   3.5966,   0.0258
3360880000.0000,   3.6544,   0.0279
3420860000.0000,   3.7315,   0.0280
3480840000.0000,   3.7764,   0.0255
3540820000.0000,   3.7250,   0.0275
3600800000.0000,   3.6874,   0.0355
3660780000.0000,   3.6799,   0.0505
3720760000.0000,   3.7274,   0.0651
3780740000.0000,   3.7275,   0.0669
3840720000.0000,   3.6841,   0.0632
3900700000.0000,   3.6462,   0.0581
3960680000.0000,   3.6537,   0.0539
4020660000.0000,   3.7015,   0.0525
4080640000.0000,   3.7183,   0.0531
4140620000.0000,   3.6890,   0.0471
4200600000.0000,   3.6453,   0.0419
4260580000.0000,   3.6778,   0.0477
4320560000.0000,   3.7914,   0.0497
4380540000.0000,   3.8313,   0.0514
4440520000.0000,   3.8610,   0.0503
4500500000.0000,   3.8154,   0.0511
4560480000.0000,   3.7924,   0.0573
4620460000.0000,   3.8365,   0.0647
4680440000.0000,   3.8566,   0.0765
4740420000.0000,   3.8536,   0.0878
4800400000.0000,   3.7994,   0.0941
4860380000.0000,   3.7585,   0.0889
4920360000.0000,   3.7982,   0.0840
4980340000.0000,   3.8001,   0.0745
5040320000.0000,   3.7812,   0.0754
5100300000.0000,   3.7055,   0.0724
5160280000.0000,   3.6961,   0.0748
5220260000.0000,   3.7250,   0.0742
5280240000.0000,   3.8056,   0.0767
5340220000.0000,   3.8421,   0.0786
5400200000.0000,   3.8219,   0.0789
5460180000.0000,   3.7788,   0.0870
5520160000.0000,   3.7816,   0.0897
5580140000.0000,   3.7772,   0.0968
5640120000.0000,   3.7566,   0.0982
5700100000.0000,   3.6958,   0.0985
5760080000.0000,   3.6754,   0.0969
5820060000.0000,   3.7490,   0.1013
5880040000.0000,   3.8079,   0.1007
5940020000.0000,   3.8260,   0.1013
6000000000.0000,   3.7660,   0.1009
