85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Tuesday, September 19, 2017 13:47:43"

frequency,e',e''/e'
   2000000.0000,9999.0000,   1.0000
  61980000.0000,   0.8718,  -0.1784
 121960000.0000,   0.9374,  -0.3076
 181940000.0000,   0.9933,  -0.3153
 241920000.0000,   1.0187,  -0.2802
 301900000.0000,   1.0170,  -0.2704
 361880000.0000,   1.0758,  -0.1640
 421860000.0000,   1.1509,  -0.1444
 481840000.0000,   1.1639,  -0.0945
 541820000.0000,   1.1374,  -0.0562
 601800000.0000,   1.0862,   0.0247
 661780000.0000,   1.0929,   0.0018
 721760000.0000,   1.1465,  -0.0156
 781740000.0000,   1.1935,  -0.0336
 841720000.0000,   1.1963,  -0.0662
 901700000.0000,   1.2190,  -0.0582
 961680000.0000,   1.2511,  -0.0409
1021660000.0000,   1.2542,  -0.0370
1081640000.0000,   1.2225,  -0.0064
1141620000.0000,   1.1475,  -0.0111
1201600000.0000,   1.0895,  -0.0120
1261580000.0000,   1.0992,   0.0011
1321560000.0000,   1.1346,   0.0001
1381540000.0000,   1.1666,   0.0106
1441520000.0000,   1.1530,   0.0180
1501500000.0000,   1.1341,   0.0286
1561480000.0000,   1.1265,   0.0210
1621460000.0000,   1.1366,   0.0103
1681440000.0000,   1.1392,   0.0006
1741420000.0000,   1.1121,  -0.0091
1801400000.0000,   1.0930,  -0.0011
1861380000.0000,   1.1193,   0.0008
1921360000.0000,   1.1717,  -0.0023
1981340000.0000,   1.1916,  -0.0037
2041320000.0000,   1.1634,  -0.0001
2101300000.0000,   1.1136,  -0.0039
2161280000.0000,   1.1058,  -0.0063
2221260000.0000,   1.1307,   0.0011
2281240000.0000,   1.1526,  -0.0029
2341220000.0000,   1.1272,  -0.0061
2401200000.0000,   1.1346,   0.0097
2461180000.0000,   1.1455,   0.0007
2521160000.0000,   1.1655,  -0.0015
2581140000.0000,   1.1656,  -0.0048
2641120000.0000,   1.1370,  -0.0057
2701100000.0000,   1.0995,  -0.0108
2761080000.0000,   1.1077,  -0.0032
2821060000.0000,   1.1472,   0.0032
2881040000.0000,   1.1837,   0.0049
2941020000.0000,   1.1775,   0.0034
3001000000.0000,   1.1407,   0.0064
3060980000.0000,   1.1276,   0.0019
3120960000.0000,   1.1380,  -0.0061
3180940000.0000,   1.1439,   0.0007
3240920000.0000,   1.1209,  -0.0061
3300900000.0000,   1.1119,   0.0025
3360880000.0000,   1.1381,   0.0053
3420860000.0000,   1.1754,   0.0038
3480840000.0000,   1.1913,   0.0007
3540820000.0000,   1.1614,  -0.0117
3600800000.0000,   1.1226,  -0.0023
3660780000.0000,   1.1015,  -0.0001
3720760000.0000,   1.1402,   0.0032
3780740000.0000,   1.1623,   0.0002
3840720000.0000,   1.1641,   0.0010
3900700000.0000,   1.1443,   0.0131
3960680000.0000,   1.1418,   0.0065
4020660000.0000,   1.1686,   0.0133
4080640000.0000,   1.1693,  -0.0043
4140620000.0000,   1.1412,  -0.0007
4200600000.0000,   1.1039,  -0.0043
4260580000.0000,   1.1161,   0.0039
4320560000.0000,   1.1881,   0.0006
4380540000.0000,   1.1750,   0.0018
4440520000.0000,   1.1991,  -0.0005
4500500000.0000,   1.1526,   0.0077
4560480000.0000,   1.1191,   0.0046
4620460000.0000,   1.1448,   0.0006
4680440000.0000,   1.1433,   0.0041
4740420000.0000,   1.1531,   0.0008
4800400000.0000,   1.1418,   0.0117
4860380000.0000,   1.1440,   0.0077
4920360000.0000,   1.1708,   0.0121
4980340000.0000,   1.1850,   0.0118
5040320000.0000,   1.1669,   0.0039
5100300000.0000,   1.1182,  -0.0036
5160280000.0000,   1.1099,   0.0072
5220260000.0000,   1.1210,   0.0092
5280240000.0000,   1.1615,   0.0132
5340220000.0000,   1.1826,   0.0127
5400200000.0000,   1.1622,   0.0100
5460180000.0000,   1.1430,   0.0097
5520160000.0000,   1.1504,   0.0105
5580140000.0000,   1.1553,   0.0097
5640120000.0000,   1.1529,   0.0083
5700100000.0000,   1.1298,   0.0071
5760080000.0000,   1.1176,   0.0012
5820060000.0000,   1.1491,   0.0185
5880040000.0000,   1.1697,   0.0205
5940020000.0000,   1.1894,   0.0150
6000000000.0000,   1.1608,   0.0200
