85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Tuesday, September 19, 2017 13:48:53"

frequency,e',e''/e'
   2000000.0000,   4.5008,  -0.1269
  61980000.0000,   2.8691,   0.0399
 121960000.0000,   2.6726,   0.0077
 181940000.0000,   2.5702,  -0.0144
 241920000.0000,   2.4924,   0.0018
 301900000.0000,   2.4644,   0.0092
 361880000.0000,   2.5120,   0.0356
 421860000.0000,   2.5898,   0.0363
 481840000.0000,   2.5680,   0.0492
 541820000.0000,   2.5163,   0.0695
 601800000.0000,   2.4312,   0.1014
 661780000.0000,   2.4341,   0.0946
 721760000.0000,   2.4771,   0.0841
 781740000.0000,   2.5031,   0.0652
 841720000.0000,   2.4852,   0.0599
 901700000.0000,   2.4973,   0.0642
 961680000.0000,   2.5225,   0.0738
1021660000.0000,   2.5508,   0.0697
1081640000.0000,   2.4976,   0.0818
1141620000.0000,   2.3963,   0.0829
1201600000.0000,   2.3198,   0.0904
1261580000.0000,   2.3436,   0.1012
1321560000.0000,   2.3898,   0.0914
1381540000.0000,   2.4348,   0.0981
1441520000.0000,   2.4026,   0.0972
1501500000.0000,   2.3584,   0.1027
1561480000.0000,   2.3466,   0.1031
1621460000.0000,   2.3590,   0.1010
1681440000.0000,   2.3507,   0.0882
1741420000.0000,   2.3144,   0.0826
1801400000.0000,   2.2781,   0.0849
1861380000.0000,   2.3116,   0.0862
1921360000.0000,   2.3670,   0.0828
1981340000.0000,   2.3969,   0.0798
2041320000.0000,   2.3702,   0.0942
2101300000.0000,   2.2928,   0.0875
2161280000.0000,   2.2844,   0.0852
2221260000.0000,   2.3175,   0.0849
2281240000.0000,   2.3398,   0.0847
2341220000.0000,   2.3271,   0.0831
2401200000.0000,   2.3106,   0.0881
2461180000.0000,   2.3227,   0.0870
2521160000.0000,   2.3508,   0.0885
2581140000.0000,   2.3517,   0.0859
2641120000.0000,   2.3108,   0.0873
2701100000.0000,   2.2597,   0.0895
2761080000.0000,   2.2754,   0.0914
2821060000.0000,   2.3306,   0.0945
2881040000.0000,   2.3697,   0.0935
2941020000.0000,   2.3472,   0.0935
3001000000.0000,   2.3055,   0.0994
3060980000.0000,   2.2962,   0.0994
3120960000.0000,   2.3106,   0.0977
3180940000.0000,   2.3197,   0.0969
3240920000.0000,   2.2921,   0.0926
3300900000.0000,   2.2694,   0.1025
3360880000.0000,   2.3038,   0.1014
3420860000.0000,   2.3402,   0.0990
3480840000.0000,   2.3686,   0.0959
3540820000.0000,   2.3109,   0.0932
3600800000.0000,   2.2582,   0.0956
3660780000.0000,   2.2487,   0.1035
3720760000.0000,   2.2751,   0.1063
3780740000.0000,   2.3206,   0.1086
3840720000.0000,   2.3218,   0.1033
3900700000.0000,   2.2972,   0.1077
3960680000.0000,   2.2917,   0.1087
4020660000.0000,   2.3151,   0.1108
4080640000.0000,   2.3257,   0.1058
4140620000.0000,   2.2949,   0.1077
4200600000.0000,   2.2556,   0.1065
4260580000.0000,   2.2626,   0.1123
4320560000.0000,   2.3639,   0.1074
4380540000.0000,   2.3151,   0.1189
4440520000.0000,   2.3523,   0.1139
4500500000.0000,   2.3042,   0.1124
4560480000.0000,   2.2668,   0.1155
4620460000.0000,   2.2853,   0.1122
4680440000.0000,   2.3023,   0.1209
4740420000.0000,   2.3170,   0.1181
4800400000.0000,   2.3093,   0.1210
4860380000.0000,   2.2967,   0.1239
4920360000.0000,   2.3389,   0.1220
4980340000.0000,   2.3463,   0.1204
5040320000.0000,   2.3245,   0.1252
5100300000.0000,   2.2591,   0.1219
5160280000.0000,   2.2522,   0.1276
5220260000.0000,   2.2588,   0.1274
5280240000.0000,   2.3071,   0.1298
5340220000.0000,   2.3299,   0.1300
5400200000.0000,   2.3105,   0.1262
5460180000.0000,   2.2778,   0.1352
5520160000.0000,   2.2860,   0.1301
5580140000.0000,   2.2965,   0.1358
5640120000.0000,   2.2839,   0.1326
5700100000.0000,   2.2450,   0.1365
5760080000.0000,   2.2286,   0.1402
5820060000.0000,   2.2815,   0.1407
5880040000.0000,   2.3208,   0.1408
5940020000.0000,   2.3296,   0.1417
6000000000.0000,   2.2808,   0.1450
