85070 Dielectric Probe Software E07.02.29,,,,,frequency,e',e''/e'
Keysight Technologies,N9923A,MY51491690,A.08.17,,2000000,9999,1
Title:,Title,,,,61980000,2.0437,-0.0073
Sub Title:,SubTitle,,,,121960000,2.2256,0.0086
Date:,"Tuesday, September 19, 2017 14:20:28",,,,181940000,2.1954,0.0273
,,,,,241920000,2.184,0.0142
,,,,,301900000,2.2113,0.0129
,,,,,361880000,2.2218,0.0157
,,,,,421860000,2.2138,0.0008
,,,,,481840000,2.2269,-0.0026
,,,,,541820000,2.2252,0.0088
,,,,,601800000,2.2246,0.0198
,,,,,661780000,2.234,0.0216
,,,,,721760000,2.243,0.0011
,,,,,781740000,2.2385,0.001
,,,,,841720000,2.2399,-0.0043
,,,,,901700000,2.2353,-0.0003
,,,,,961680000,2.2492,0.0068
,,,,,1021660000,2.233,0.0134
,,,,,1081640000,2.2347,0.0031
,,,,,1141620000,2.2427,0.0059
,,,,,1201600000,2.2391,0.0016
,,,,,1261580000,2.2504,0.0037
,,,,,1321560000,2.2452,0.0084
,,,,,1381540000,2.2496,0.0067
,,,,,1441520000,2.2477,0.0071
,,,,,1501500000,2.237,0.0038
,,,,,1561480000,2.2377,0.0028
,,,,,1621460000,2.2378,0.0017
,,,,,1681440000,2.2492,0.0048
,,,,,1741420000,2.24,0.0012
,,,,,1801400000,2.2535,0.002
,,,,,1861380000,2.2574,0.0015
,,,,,1921360000,2.2446,0.0045
,,,,,1981340000,2.2635,0.0086
,,,,,2041320000,2.2446,-0.0064
,,,,,2101300000,2.2742,0.0057
,,,,,2161280000,2.2692,0.0038
,,,,,2221260000,2.2734,0.0037
,,,,,2281240000,2.2747,0.0045
,,,,,2341220000,2.2627,0.0026
,,,,,2401200000,2.2828,-0.0002
,,,,,2461180000,2.2754,0.0017
,,,,,2521160000,2.283,0.0044
,,,,,2581140000,2.2833,0.0066
,,,,,2641120000,2.2793,0.005
,,,,,2701100000,2.2935,0.0104
,,,,,2761080000,2.2931,0.0096
,,,,,2821060000,2.3023,0.0107
,,,,,2881040000,2.2868,0.0125
,,,,,2941020000,2.2877,0.0109
,,,,,3001000000,2.2788,0.0141
,,,,,3060980000,2.2929,0.0118
,,,,,3120960000,2.2949,0.0129
,,,,,3180940000,2.3,0.0137
,,,,,3240920000,2.3125,0.0146
,,,,,3300900000,2.3025,0.0179
,,,,,3360880000,2.3074,0.016
,,,,,3420860000,2.3107,0.0194
,,,,,3480840000,2.3107,0.0168
,,,,,3540820000,2.3126,0.02
,,,,,3600800000,2.3259,0.0247
,,,,,3660780000,2.3209,0.0251
,,,,,3720760000,2.3257,0.026
,,,,,3780740000,2.3114,0.0286
,,,,,3840720000,2.3098,0.0278
,,,,,3900700000,2.3094,0.0256
,,,,,3960680000,2.3142,0.0271
,,,,,4020660000,2.3033,0.0285
,,,,,4080640000,2.3236,0.0315
,,,,,4140620000,2.3235,0.0303
,,,,,4200600000,2.3348,0.0292
,,,,,4260580000,2.3303,0.031
,,,,,4320560000,2.3775,0.0325
,,,,,4380540000,2.3413,0.0365
,,,,,4440520000,2.332,0.038
,,,,,4500500000,2.3422,0.0378
,,,,,4560480000,2.34,0.0379
,,,,,4620460000,2.3397,0.0409
,,,,,4680440000,2.3573,0.0469
,,,,,4740420000,2.3393,0.0473
,,,,,4800400000,2.3285,0.0447
,,,,,4860380000,2.328,0.0446
,,,,,4920360000,2.3224,0.0459
,,,,,4980340000,2.3249,0.0449
,,,,,5040320000,2.3355,0.0491
,,,,,5100300000,2.3435,0.0494
,,,,,5160280000,2.3434,0.0492
,,,,,5220260000,2.3398,0.0496
,,,,,5280240000,2.3458,0.0485
,,,,,5340220000,2.3457,0.0531
,,,,,5400200000,2.3493,0.0595
,,,,,5460180000,2.3292,0.0616
,,,,,5520160000,2.336,0.0591
,,,,,5580140000,2.3424,0.0624
,,,,,5640120000,2.3507,0.0606
,,,,,5700100000,2.3493,0.0617
,,,,,5760080000,2.3515,0.0613
,,,,,5820060000,2.3516,0.0623
,,,,,5880040000,2.3466,0.0649
,,,,,5940020000,2.3535,0.0683
,,,,,6000000000,2.3458,0.0649
