85070 Dielectric Probe Software E07.02.29,,,,,frequency,e',e''/e'
Keysight Technologies,N9923A,MY51491690,A.08.17,,2000000,19.8835,-0.3002
Title:,Title,,,,61980000,21.5482,-0.0154
Sub Title:,SubTitle,,,,121960000,21.5287,-0.0273
Date:,"Tuesday, September 19, 2017 14:12:28",,,,181940000,21.4597,-0.0274
,,,,,241920000,21.4908,-0.0265
,,,,,301900000,21.5398,-0.0232
,,,,,361880000,21.6102,-0.0157
,,,,,421860000,21.6477,-0.0086
,,,,,481840000,21.6931,0.0006
,,,,,541820000,21.7142,0.0072
,,,,,601800000,21.7386,0.0086
,,,,,661780000,21.7826,0.0066
,,,,,721760000,21.8216,0.0029
,,,,,781740000,21.8396,0
,,,,,841720000,21.8502,-0.0019
,,,,,901700000,21.8681,-0.0018
,,,,,961680000,21.8673,0.0003
,,,,,1021660000,21.8423,0.0061
,,,,,1081640000,21.7775,0.0114
,,,,,1141620000,21.7519,0.0162
,,,,,1201600000,21.7637,0.0188
,,,,,1261580000,21.8237,0.0202
,,,,,1321560000,21.8839,0.0202
,,,,,1381540000,21.9613,0.0214
,,,,,1441520000,22.0149,0.0204
,,,,,1501500000,22.0168,0.0209
,,,,,1561480000,21.9899,0.0214
,,,,,1621460000,21.9489,0.0216
,,,,,1681440000,21.9288,0.0209
,,,,,1741420000,21.9047,0.0229
,,,,,1801400000,21.9048,0.0226
,,,,,1861380000,21.9626,0.0229
,,,,,1921360000,22.0294,0.0248
,,,,,1981340000,22.1018,0.0271
,,,,,2041320000,22.1394,0.0315
,,,,,2101300000,22.1512,0.0304
,,,,,2161280000,22.2074,0.0305
,,,,,2221260000,22.2403,0.0322
,,,,,2281240000,22.2652,0.0357
,,,,,2341220000,22.2611,0.0358
,,,,,2401200000,22.3225,0.0362
,,,,,2461180000,22.4094,0.0403
,,,,,2521160000,22.4465,0.0436
,,,,,2581140000,22.4489,0.0487
,,,,,2641120000,22.4304,0.0522
,,,,,2701100000,22.409,0.0546
,,,,,2761080000,22.4434,0.0546
,,,,,2821060000,22.5051,0.0566
,,,,,2881040000,22.507,0.0599
,,,,,2941020000,22.4927,0.0637
,,,,,3001000000,22.5065,0.0655
,,,,,3060980000,22.5688,0.0681
,,,,,3120960000,22.5955,0.0719
,,,,,3180940000,22.5636,0.0767
,,,,,3240920000,22.535,0.0813
,,,,,3300900000,22.4569,0.0858
,,,,,3360880000,22.4373,0.0841
,,,,,3420860000,22.4342,0.0834
,,,,,3480840000,22.44,0.0836
,,,,,3540820000,22.4876,0.0846
,,,,,3600800000,22.5521,0.0881
,,,,,3660780000,22.5665,0.0916
,,,,,3720760000,22.5272,0.0955
,,,,,3780740000,22.4848,0.0995
,,,,,3840720000,22.4374,0.1006
,,,,,3900700000,22.4612,0.1005
,,,,,3960680000,22.4872,0.1004
,,,,,4020660000,22.4679,0.102
,,,,,4080640000,22.4802,0.1041
,,,,,4140620000,22.4978,0.1058
,,,,,4200600000,22.5126,0.1071
,,,,,4260580000,22.5255,0.1099
,,,,,4320560000,22.5781,0.111
,,,,,4380540000,22.5207,0.1147
,,,,,4440520000,22.5854,0.1161
,,,,,4500500000,22.6058,0.118
,,,,,4560480000,22.6248,0.1201
,,,,,4620460000,22.6102,0.1225
,,,,,4680440000,22.6383,0.1267
,,,,,4740420000,22.6255,0.1294
,,,,,4800400000,22.6253,0.1313
,,,,,4860380000,22.5937,0.1339
,,,,,4920360000,22.5895,0.1368
,,,,,4980340000,22.5992,0.14
,,,,,5040320000,22.6146,0.1421
,,,,,5100300000,22.6194,0.1445
,,,,,5160280000,22.609,0.146
,,,,,5220260000,22.6143,0.1487
,,,,,5280240000,22.6391,0.1507
,,,,,5340220000,22.6167,0.1527
,,,,,5400200000,22.5746,0.157
,,,,,5460180000,22.5755,0.1602
,,,,,5520160000,22.5696,0.1611
,,,,,5580140000,22.5571,0.1657
,,,,,5640120000,22.5495,0.1674
,,,,,5700100000,22.5221,0.1709
,,,,,5760080000,22.55,0.1742
,,,,,5820060000,22.6171,0.1765
,,,,,5880040000,22.6093,0.1783
,,,,,5940020000,22.5709,0.1811
,,,,,6000000000,22.4944,0.1843
