85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, September 13, 2017 18:24:39"

frequency,e',e''/e'
   2000000.0000,9999.0000,   1.0000
  61980000.0000,   0.6664,  -1.2229
 121960000.0000,   0.1554, -16.5290
 181940000.0000,   0.4189,  -9.5346
 241920000.0000,   0.8512,  -5.3266
 301900000.0000,   1.2188,  -3.5458
 361880000.0000,   1.5615,  -2.2101
 421860000.0000,   1.9334,  -1.1799
 481840000.0000,   2.2749,  -0.4818
 541820000.0000,   2.4854,  -0.1099
 601800000.0000,   2.5574,   0.0032
 661780000.0000,   2.6339,  -0.0518
 721760000.0000,   2.7635,  -0.1690
 781740000.0000,   2.9375,  -0.3243
 841720000.0000,   3.0853,  -0.4783
 901700000.0000,   3.1472,  -0.5752
 961680000.0000,   3.1157,  -0.5884
1021660000.0000,   2.9728,  -0.4821
1081640000.0000,   2.7724,  -0.2957
1141620000.0000,   2.6178,  -0.1226
1201600000.0000,   2.5517,  -0.0290
1261580000.0000,   2.5683,   0.0068
1321560000.0000,   2.6954,  -0.0126
1381540000.0000,   2.9438,  -0.0789
1441520000.0000,   3.2673,  -0.1545
1501500000.0000,   3.4960,  -0.1997
1561480000.0000,   3.5350,  -0.2126
1621460000.0000,   3.3835,  -0.2053
1681440000.0000,   3.1554,  -0.1812
1741420000.0000,   2.9276,  -0.1286
1801400000.0000,   2.7499,  -0.0782
1861380000.0000,   2.6151,  -0.0215
1921360000.0000,   2.6106,   0.0065
1981340000.0000,   2.7315,   0.0185
2041320000.0000,   2.9385,   0.0216
2101300000.0000,   3.1309,   0.0264
2161280000.0000,   3.2937,   0.0177
2221260000.0000,   3.3773,   0.0001
2281240000.0000,   3.3385,  -0.0129
2341220000.0000,   3.1950,  -0.0180
2401200000.0000,   2.9560,  -0.0072
2461180000.0000,   2.7666,  -0.0012
2521160000.0000,   2.6509,   0.0090
2581140000.0000,   2.6088,   0.0194
2641120000.0000,   2.6440,   0.0342
2701100000.0000,   2.7095,   0.0656
2761080000.0000,   2.8241,   0.0861
2821060000.0000,   2.9328,   0.0926
2881040000.0000,   2.9753,   0.0862
2941020000.0000,   2.9481,   0.0706
3001000000.0000,   2.8581,   0.0476
3060980000.0000,   2.7633,   0.0277
3120960000.0000,   2.6791,   0.0181
3180940000.0000,   2.6266,   0.0163
3240920000.0000,   2.6102,   0.0250
3300900000.0000,   2.6173,   0.0280
3360880000.0000,   2.6777,   0.0406
3420860000.0000,   2.7472,   0.0561
3480840000.0000,   2.8306,   0.0698
3540820000.0000,   2.8521,   0.0725
3600800000.0000,   2.8488,   0.0516
3660780000.0000,   2.7759,   0.0322
3720760000.0000,   2.6872,   0.0253
3780740000.0000,   2.6244,   0.0259
3840720000.0000,   2.6228,   0.0322
3900700000.0000,   2.6539,   0.0281
3960680000.0000,   2.6759,   0.0335
4020660000.0000,   2.6986,   0.0521
4080640000.0000,   2.7213,   0.0757
4140620000.0000,   2.7587,   0.0773
4200600000.0000,   2.7792,   0.0584
4260580000.0000,   2.7629,   0.0407
4320560000.0000,   2.7154,   0.0429
4380540000.0000,   2.6681,   0.0390
4440520000.0000,   2.6719,   0.0483
4500500000.0000,   2.6946,   0.0443
4560480000.0000,   2.6953,   0.0454
4620460000.0000,   2.6730,   0.0594
4680440000.0000,   2.6662,   0.0723
4740420000.0000,   2.7008,   0.0735
4800400000.0000,   2.7584,   0.0611
4860380000.0000,   2.7697,   0.0546
4920360000.0000,   2.7448,   0.0463
4980340000.0000,   2.7468,   0.0512
5040320000.0000,   2.7326,   0.0481
5100300000.0000,   2.7093,   0.0472
5160280000.0000,   2.7041,   0.0571
5220260000.0000,   2.6716,   0.0679
5280240000.0000,   2.6936,   0.0728
5340220000.0000,   2.7264,   0.0752
5400200000.0000,   2.7662,   0.0816
5460180000.0000,   2.8276,   0.0868
5520160000.0000,   2.8472,   0.0890
5580140000.0000,   2.8550,   0.0825
5640120000.0000,   2.8004,   0.0688
5700100000.0000,   2.7334,   0.0626
5760080000.0000,   2.6940,   0.0724
5820060000.0000,   2.6493,   0.0820
5880040000.0000,   2.6701,   0.0852
5940020000.0000,   2.7198,   0.0950
6000000000.0000,   2.7682,   0.1236
