85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, September 13, 2017 18:21:47"

frequency,e',e''/e'
   2000000.0000,9999.0000,   1.0000
  61980000.0000,   0.6230,  -1.6070
 121960000.0000,   0.1597, -16.0434
 181940000.0000,   0.3671, -10.5831
 241920000.0000,   0.8230,  -5.3713
 301900000.0000,   1.1893,  -3.5373
 361880000.0000,   1.5339,  -2.2082
 421860000.0000,   1.9231,  -1.1690
 481840000.0000,   2.2244,  -0.4917
 541820000.0000,   2.4267,  -0.1126
 601800000.0000,   2.4956,   0.0017
 661780000.0000,   2.5823,  -0.0450
 721760000.0000,   2.7075,  -0.1739
 781740000.0000,   2.8694,  -0.3269
 841720000.0000,   3.0255,  -0.4805
 901700000.0000,   3.0896,  -0.5690
 961680000.0000,   3.0637,  -0.5769
1021660000.0000,   2.9176,  -0.4745
1081640000.0000,   2.7207,  -0.2959
1141620000.0000,   2.5610,  -0.1311
1201600000.0000,   2.4932,  -0.0303
1261580000.0000,   2.5190,  -0.0026
1321560000.0000,   2.6370,  -0.0156
1381540000.0000,   2.8914,  -0.0763
1441520000.0000,   3.2012,  -0.1528
1501500000.0000,   3.4158,  -0.1959
1561480000.0000,   3.4588,  -0.2050
1621460000.0000,   3.3175,  -0.1978
1681440000.0000,   3.1019,  -0.1761
1741420000.0000,   2.8804,  -0.1328
1801400000.0000,   2.6889,  -0.0791
1861380000.0000,   2.5624,  -0.0237
1921360000.0000,   2.5527,   0.0070
1981340000.0000,   2.6750,   0.0183
2041320000.0000,   2.8643,   0.0196
2101300000.0000,   3.0515,   0.0264
2161280000.0000,   3.2056,   0.0214
2221260000.0000,   3.2884,   0.0061
2281240000.0000,   3.2565,  -0.0054
2341220000.0000,   3.1150,  -0.0094
2401200000.0000,   2.8896,  -0.0034
2461180000.0000,   2.6997,   0.0003
2521160000.0000,   2.5868,   0.0087
2581140000.0000,   2.5527,   0.0198
2641120000.0000,   2.5870,   0.0434
2701100000.0000,   2.6432,   0.0642
2761080000.0000,   2.7509,   0.0855
2821060000.0000,   2.8451,   0.0897
2881040000.0000,   2.8919,   0.0848
2941020000.0000,   2.8727,   0.0696
3001000000.0000,   2.7812,   0.0493
3060980000.0000,   2.6949,   0.0290
3120960000.0000,   2.6149,   0.0180
3180940000.0000,   2.5682,   0.0134
3240920000.0000,   2.5535,   0.0208
3300900000.0000,   2.5656,   0.0249
3360880000.0000,   2.6196,   0.0367
3420860000.0000,   2.6842,   0.0543
3480840000.0000,   2.7571,   0.0668
3540820000.0000,   2.7906,   0.0667
3600800000.0000,   2.7717,   0.0554
3660780000.0000,   2.7013,   0.0313
3720760000.0000,   2.6378,   0.0243
3780740000.0000,   2.5715,   0.0283
3840720000.0000,   2.5715,   0.0310
3900700000.0000,   2.5936,   0.0285
3960680000.0000,   2.6148,   0.0325
4020660000.0000,   2.6379,   0.0492
4080640000.0000,   2.6685,   0.0745
4140620000.0000,   2.6954,   0.0713
4200600000.0000,   2.7028,   0.0517
4260580000.0000,   2.6931,   0.0391
4320560000.0000,   2.7094,   0.0385
4380540000.0000,   2.6394,   0.0336
4440520000.0000,   2.6219,   0.0424
4500500000.0000,   2.6332,   0.0426
4560480000.0000,   2.6359,   0.0430
4620460000.0000,   2.6417,   0.0527
4680440000.0000,   2.6244,   0.0719
4740420000.0000,   2.6456,   0.0693
4800400000.0000,   2.6850,   0.0607
4860380000.0000,   2.7070,   0.0518
4920360000.0000,   2.6935,   0.0463
4980340000.0000,   2.6951,   0.0509
5040320000.0000,   2.6712,   0.0447
5100300000.0000,   2.6526,   0.0487
5160280000.0000,   2.6335,   0.0525
5220260000.0000,   2.6216,   0.0657
5280240000.0000,   2.6338,   0.0693
5340220000.0000,   2.6661,   0.0718
5400200000.0000,   2.7003,   0.0753
5460180000.0000,   2.7582,   0.0827
5520160000.0000,   2.7910,   0.0865
5580140000.0000,   2.7933,   0.0804
5640120000.0000,   2.7413,   0.0674
5700100000.0000,   2.6784,   0.0595
5760080000.0000,   2.6253,   0.0706
5820060000.0000,   2.5938,   0.0781
5880040000.0000,   2.6098,   0.0851
5940020000.0000,   2.6497,   0.0924
6000000000.0000,   2.7079,   0.1185
