85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, September 13, 2017 18:27:56"

frequency,e',e''/e'
   2000000.0000,9999.0000,   1.0000
  61980000.0000,   2.1462,  -0.2014
 121960000.0000,   2.2497,  -0.1218
 181940000.0000,   2.3812,  -0.0732
 241920000.0000,   2.3761,  -0.0394
 301900000.0000,   2.3839,  -0.0312
 361880000.0000,   2.3778,  -0.0179
 421860000.0000,   2.3853,  -0.0179
 481840000.0000,   2.3904,  -0.0077
 541820000.0000,   2.4086,  -0.0119
 601800000.0000,   2.3998,  -0.0185
 661780000.0000,   2.4063,  -0.0179
 721760000.0000,   2.3865,  -0.0144
 781740000.0000,   2.4023,  -0.0017
 841720000.0000,   2.4162,  -0.0016
 901700000.0000,   2.4246,  -0.0032
 961680000.0000,   2.4206,  -0.0089
1021660000.0000,   2.4187,  -0.0021
1081640000.0000,   2.4184,  -0.0020
1141620000.0000,   2.4064,  -0.0025
1201600000.0000,   2.4123,   0.0006
1261580000.0000,   2.4095,  -0.0043
1321560000.0000,   2.4147,  -0.0036
1381540000.0000,   2.4106,  -0.0007
1441520000.0000,   2.4208,  -0.0010
1501500000.0000,   2.4230,  -0.0049
1561480000.0000,   2.4216,  -0.0050
1621460000.0000,   2.4129,  -0.0088
1681440000.0000,   2.4154,  -0.0053
1741420000.0000,   2.4101,  -0.0209
1801400000.0000,   2.4236,  -0.0144
1861380000.0000,   2.4441,  -0.0120
1921360000.0000,   2.4446,  -0.0140
1981340000.0000,   2.4480,  -0.0062
2041320000.0000,   2.4560,   0.0034
2101300000.0000,   2.4567,   0.0078
2161280000.0000,   2.4406,   0.0028
2221260000.0000,   2.4370,   0.0046
2281240000.0000,   2.4459,   0.0037
2341220000.0000,   2.4656,   0.0002
2401200000.0000,   2.4538,  -0.0035
2461180000.0000,   2.4605,   0.0027
2521160000.0000,   2.4559,  -0.0008
2581140000.0000,   2.4614,   0.0020
2641120000.0000,   2.4626,   0.0076
2701100000.0000,   2.4616,   0.0031
2761080000.0000,   2.4555,   0.0064
2821060000.0000,   2.4461,   0.0064
2881040000.0000,   2.4477,   0.0101
2941020000.0000,   2.4645,   0.0064
3001000000.0000,   2.4590,   0.0102
3060980000.0000,   2.4638,   0.0060
3120960000.0000,   2.4571,   0.0053
3180940000.0000,   2.4658,   0.0052
3240920000.0000,   2.4675,   0.0079
3300900000.0000,   2.4713,   0.0066
3360880000.0000,   2.4862,   0.0071
3420860000.0000,   2.4806,   0.0101
3480840000.0000,   2.4896,   0.0087
3540820000.0000,   2.5084,   0.0096
3600800000.0000,   2.4932,   0.0169
3660780000.0000,   2.4938,   0.0145
3720760000.0000,   2.4796,   0.0180
3780740000.0000,   2.4871,   0.0186
3840720000.0000,   2.4948,   0.0170
3900700000.0000,   2.5062,   0.0163
3960680000.0000,   2.5140,   0.0175
4020660000.0000,   2.5038,   0.0181
4080640000.0000,   2.5066,   0.0137
4140620000.0000,   2.5046,   0.0171
4200600000.0000,   2.5155,   0.0234
4260580000.0000,   2.5182,   0.0245
4320560000.0000,   2.5274,   0.0258
4380540000.0000,   2.5344,   0.0269
4440520000.0000,   2.5177,   0.0301
4500500000.0000,   2.5279,   0.0290
4560480000.0000,   2.5300,   0.0325
4620460000.0000,   2.5158,   0.0316
4680440000.0000,   2.5240,   0.0350
4740420000.0000,   2.5143,   0.0357
4800400000.0000,   2.5279,   0.0324
4860380000.0000,   2.5201,   0.0347
4920360000.0000,   2.5071,   0.0332
4980340000.0000,   2.5315,   0.0382
5040320000.0000,   2.5381,   0.0389
5100300000.0000,   2.5325,   0.0340
5160280000.0000,   2.5494,   0.0475
5220260000.0000,   2.5415,   0.0442
5280240000.0000,   2.5600,   0.0460
5340220000.0000,   2.5538,   0.0482
5400200000.0000,   2.5539,   0.0531
5460180000.0000,   2.5575,   0.0459
5520160000.0000,   2.5487,   0.0500
5580140000.0000,   2.5409,   0.0553
5640120000.0000,   2.5400,   0.0573
5700100000.0000,   2.5332,   0.0555
5760080000.0000,   2.5564,   0.0554
5820060000.0000,   2.5524,   0.0622
5880040000.0000,   2.5632,   0.0612
5940020000.0000,   2.5629,   0.0677
6000000000.0000,   2.5633,   0.0695
