85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, September 13, 2017 18:18:28"

frequency,e',e''/e'
   2000000.0000,9999.0000,   1.0000
  61980000.0000,   1.1662,  -0.7648
 121960000.0000,   0.7958,  -2.3426
 181940000.0000,   0.9558,  -3.0091
 241920000.0000,   1.2935,  -2.5218
 301900000.0000,   1.5763,  -1.9756
 361880000.0000,   1.8754,  -1.3507
 421860000.0000,   2.1587,  -0.7844
 481840000.0000,   2.4185,  -0.3543
 541820000.0000,   2.5898,  -0.0792
 601800000.0000,   2.6311,  -0.0053
 661780000.0000,   2.6864,  -0.0446
 721760000.0000,   2.7783,  -0.1305
 781740000.0000,   2.9177,  -0.2386
 841720000.0000,   3.0549,  -0.3537
 901700000.0000,   3.1171,  -0.4172
 961680000.0000,   3.0934,  -0.4261
1021660000.0000,   2.9956,  -0.3388
1081640000.0000,   2.8265,  -0.2126
1141620000.0000,   2.7051,  -0.0946
1201600000.0000,   2.6382,  -0.0256
1261580000.0000,   2.6457,  -0.0032
1321560000.0000,   2.7396,  -0.0117
1381540000.0000,   2.9345,  -0.0540
1441520000.0000,   3.1828,  -0.1038
1501500000.0000,   3.3503,  -0.1348
1561480000.0000,   3.3795,  -0.1397
1621460000.0000,   3.2663,  -0.1312
1681440000.0000,   3.1078,  -0.1181
1741420000.0000,   2.9287,  -0.0894
1801400000.0000,   2.7942,  -0.0552
1861380000.0000,   2.6951,  -0.0182
1921360000.0000,   2.6893,   0.0022
1981340000.0000,   2.7743,   0.0149
2041320000.0000,   2.9012,   0.0236
2101300000.0000,   3.0254,   0.0329
2161280000.0000,   3.1318,   0.0305
2221260000.0000,   3.1847,   0.0231
2281240000.0000,   3.1661,   0.0146
2341220000.0000,   3.0726,   0.0063
2401200000.0000,   2.9253,   0.0093
2461180000.0000,   2.7955,   0.0037
2521160000.0000,   2.7160,   0.0082
2581140000.0000,   2.6925,   0.0123
2641120000.0000,   2.7090,   0.0203
2701100000.0000,   2.7300,   0.0456
2761080000.0000,   2.8009,   0.0617
2821060000.0000,   2.8556,   0.0686
2881040000.0000,   2.8917,   0.0642
2941020000.0000,   2.8865,   0.0535
3001000000.0000,   2.8283,   0.0364
3060980000.0000,   2.7783,   0.0226
3120960000.0000,   2.7375,   0.0136
3180940000.0000,   2.7113,   0.0103
3240920000.0000,   2.7037,   0.0120
3300900000.0000,   2.7003,   0.0171
3360880000.0000,   2.7378,   0.0260
3420860000.0000,   2.7820,   0.0377
3480840000.0000,   2.8358,   0.0430
3540820000.0000,   2.8320,   0.0468
3600800000.0000,   2.8343,   0.0341
3660780000.0000,   2.7923,   0.0236
3720760000.0000,   2.7439,   0.0203
3780740000.0000,   2.7229,   0.0225
3840720000.0000,   2.7303,   0.0251
3900700000.0000,   2.7550,   0.0213
3960680000.0000,   2.7565,   0.0267
4020660000.0000,   2.7757,   0.0358
4080640000.0000,   2.7809,   0.0504
4140620000.0000,   2.8123,   0.0478
4200600000.0000,   2.8089,   0.0377
4260580000.0000,   2.8055,   0.0327
4320560000.0000,   2.8184,   0.0348
4380540000.0000,   2.7937,   0.0331
4440520000.0000,   2.7710,   0.0419
4500500000.0000,   2.7809,   0.0389
4560480000.0000,   2.7722,   0.0414
4620460000.0000,   2.7735,   0.0448
4680440000.0000,   2.7773,   0.0515
4740420000.0000,   2.7908,   0.0526
4800400000.0000,   2.8159,   0.0439
4860380000.0000,   2.8209,   0.0425
4920360000.0000,   2.8217,   0.0391
4980340000.0000,   2.8267,   0.0369
5040320000.0000,   2.8142,   0.0399
5100300000.0000,   2.7977,   0.0463
5160280000.0000,   2.7709,   0.0525
5220260000.0000,   2.7722,   0.0582
5280240000.0000,   2.7958,   0.0613
5340220000.0000,   2.8232,   0.0631
5400200000.0000,   2.8492,   0.0653
5460180000.0000,   2.8776,   0.0653
5520160000.0000,   2.9058,   0.0670
5580140000.0000,   2.9141,   0.0636
5640120000.0000,   2.8693,   0.0592
5700100000.0000,   2.8135,   0.0591
5760080000.0000,   2.7680,   0.0666
5820060000.0000,   2.7632,   0.0733
5880040000.0000,   2.7796,   0.0774
5940020000.0000,   2.8184,   0.0849
6000000000.0000,   2.8617,   0.1007
