85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, September 13, 2017 18:06:01"

frequency,e',e''/e'
   2000000.0000,   7.8101,   0.7257
  61980000.0000,   2.6403,   0.0176
 121960000.0000,   2.5274,   0.0287
 181940000.0000,   2.5069,   0.0204
 241920000.0000,   2.4352,  -0.0373
 301900000.0000,   2.4784,  -0.0213
 361880000.0000,   2.4751,  -0.0286
 421860000.0000,   2.5006,  -0.0135
 481840000.0000,   2.5313,  -0.0099
 541820000.0000,   2.5333,   0.0080
 601800000.0000,   2.5366,   0.0019
 661780000.0000,   2.5284,   0.0138
 721760000.0000,   2.5478,   0.0095
 781740000.0000,   2.5629,  -0.0025
 841720000.0000,   2.5589,  -0.0081
 901700000.0000,   2.5667,  -0.0100
 961680000.0000,   2.5818,  -0.0133
1021660000.0000,   2.5851,  -0.0149
1081640000.0000,   2.5591,  -0.0084
1141620000.0000,   2.5440,   0.0022
1201600000.0000,   2.5367,   0.0042
1261580000.0000,   2.5321,   0.0092
1321560000.0000,   2.5387,   0.0084
1381540000.0000,   2.5486,   0.0059
1441520000.0000,   2.5727,   0.0081
1501500000.0000,   2.5694,   0.0036
1561480000.0000,   2.5789,  -0.0001
1621460000.0000,   2.5659,  -0.0012
1681440000.0000,   2.5619,  -0.0019
1741420000.0000,   2.5674,  -0.0046
1801400000.0000,   2.5504,  -0.0069
1861380000.0000,   2.5689,  -0.0044
1921360000.0000,   2.5586,  -0.0023
1981340000.0000,   2.5792,   0.0032
2041320000.0000,   2.5917,   0.0161
2101300000.0000,   2.5727,   0.0089
2161280000.0000,   2.5783,   0.0103
2221260000.0000,   2.5858,   0.0064
2281240000.0000,   2.5933,   0.0101
2341220000.0000,   2.5955,   0.0070
2401200000.0000,   2.5941,   0.0105
2461180000.0000,   2.5920,   0.0091
2521160000.0000,   2.5865,   0.0086
2581140000.0000,   2.5829,   0.0109
2641120000.0000,   2.5691,   0.0100
2701100000.0000,   2.5707,   0.0128
2761080000.0000,   2.5736,   0.0125
2821060000.0000,   2.5880,   0.0173
2881040000.0000,   2.5892,   0.0173
2941020000.0000,   2.5940,   0.0177
3001000000.0000,   2.5994,   0.0143
3060980000.0000,   2.5955,   0.0139
3120960000.0000,   2.5970,   0.0099
3180940000.0000,   2.5955,   0.0103
3240920000.0000,   2.5958,   0.0092
3300900000.0000,   2.5928,   0.0142
3360880000.0000,   2.6085,   0.0133
3420860000.0000,   2.6181,   0.0175
3480840000.0000,   2.6322,   0.0184
3540820000.0000,   2.6343,   0.0215
3600800000.0000,   2.6263,   0.0243
3660780000.0000,   2.6158,   0.0234
3720760000.0000,   2.6359,   0.0313
3780740000.0000,   2.6242,   0.0174
3840720000.0000,   2.6247,   0.0213
3900700000.0000,   2.6271,   0.0247
3960680000.0000,   2.6291,   0.0241
4020660000.0000,   2.6202,   0.0286
4080640000.0000,   2.6308,   0.0261
4140620000.0000,   2.6389,   0.0287
4200600000.0000,   2.6267,   0.0269
4260580000.0000,   2.6375,   0.0314
4320560000.0000,   2.5978,   0.0290
4380540000.0000,   2.6857,   0.0358
4440520000.0000,   2.6693,   0.0391
4500500000.0000,   2.6495,   0.0348
4560480000.0000,   2.6460,   0.0378
4620460000.0000,   2.6319,   0.0404
4680440000.0000,   2.6435,   0.0443
4740420000.0000,   2.6408,   0.0430
4800400000.0000,   2.6425,   0.0442
4860380000.0000,   2.6526,   0.0418
4920360000.0000,   2.6533,   0.0435
4980340000.0000,   2.6663,   0.0495
5040320000.0000,   2.6702,   0.0473
5100300000.0000,   2.6649,   0.0457
5160280000.0000,   2.6596,   0.0465
5220260000.0000,   2.6622,   0.0497
5280240000.0000,   2.6700,   0.0535
5340220000.0000,   2.6738,   0.0561
5400200000.0000,   2.6566,   0.0587
5460180000.0000,   2.6763,   0.0635
5520160000.0000,   2.6709,   0.0632
5580140000.0000,   2.6685,   0.0628
5640120000.0000,   2.6759,   0.0637
5700100000.0000,   2.6827,   0.0646
5760080000.0000,   2.6762,   0.0691
5820060000.0000,   2.6802,   0.0705
5880040000.0000,   2.6798,   0.0698
5940020000.0000,   2.6777,   0.0715
6000000000.0000,   2.6635,   0.0714
