85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, September 13, 2017 17:48:36"

frequency,e',e''/e'
   2000000.0000,   1.8070,  -6.1194
  61980000.0000,   1.7766,   0.0911
 121960000.0000,   1.2821,  -0.2005
 181940000.0000,   1.2610,  -0.7716
 241920000.0000,   1.4173,  -1.0220
 301900000.0000,   1.5792,  -1.0079
 361880000.0000,   1.7521,  -0.7644
 421860000.0000,   1.9708,  -0.4350
 481840000.0000,   2.2698,  -0.1536
 541820000.0000,   2.4135,  -0.0231
 601800000.0000,   2.4505,   0.0112
 661780000.0000,   2.4439,  -0.0222
 721760000.0000,   2.4814,  -0.0620
 781740000.0000,   2.5668,  -0.1306
 841720000.0000,   2.6345,  -0.2029
 901700000.0000,   2.6617,  -0.2538
 961680000.0000,   2.6423,  -0.2742
1021660000.0000,   2.5735,  -0.2084
1081640000.0000,   2.5085,  -0.1119
1141620000.0000,   2.4545,  -0.0318
1201600000.0000,   2.4196,   0.0101
1261580000.0000,   2.4197,   0.0099
1321560000.0000,   2.4682,   0.0043
1381540000.0000,   2.5355,  -0.0239
1441520000.0000,   2.6390,  -0.0489
1501500000.0000,   2.7353,  -0.0694
1561480000.0000,   2.7932,  -0.0814
1621460000.0000,   2.7378,  -0.0819
1681440000.0000,   2.6360,  -0.0680
1741420000.0000,   2.5312,  -0.0356
1801400000.0000,   2.4585,  -0.0074
1861380000.0000,   2.4425,   0.0078
1921360000.0000,   2.4497,   0.0112
1981340000.0000,   2.4516,   0.0185
2041320000.0000,   2.4863,   0.0105
2101300000.0000,   2.5989,   0.0297
2161280000.0000,   2.6958,   0.0193
2221260000.0000,   2.7164,   0.0081
2281240000.0000,   2.6530,  -0.0022
2341220000.0000,   2.5747,  -0.0014
2401200000.0000,   2.5016,   0.0063
2461180000.0000,   2.4733,   0.0167
2521160000.0000,   2.4454,   0.0215
2581140000.0000,   2.4247,   0.0225
2641120000.0000,   2.4437,   0.0300
2701100000.0000,   2.5016,   0.0371
2761080000.0000,   2.5562,   0.0438
2821060000.0000,   2.5739,   0.0444
2881040000.0000,   2.5563,   0.0388
2941020000.0000,   2.5105,   0.0315
3001000000.0000,   2.5006,   0.0234
3060980000.0000,   2.5188,   0.0186
3120960000.0000,   2.5085,   0.0180
3180940000.0000,   2.4602,   0.0173
3240920000.0000,   2.4268,   0.0257
3300900000.0000,   2.4464,   0.0284
3360880000.0000,   2.5129,   0.0320
3420860000.0000,   2.5430,   0.0345
3480840000.0000,   2.5024,   0.0480
3540820000.0000,   2.4799,   0.0570
3600800000.0000,   2.5447,   0.0493
3660780000.0000,   2.5796,   0.0311
3720760000.0000,   2.5536,   0.0316
3780740000.0000,   2.3942,   0.0393
3840720000.0000,   2.3533,   0.0428
3900700000.0000,   2.4492,   0.0380
3960680000.0000,   2.5317,   0.0310
4020660000.0000,   2.4928,   0.0374
4080640000.0000,   2.4125,   0.0516
4140620000.0000,   2.4398,   0.0629
4200600000.0000,   2.5609,   0.0478
4260580000.0000,   2.6202,   0.0341
4320560000.0000,   2.5254,   0.0299
4380540000.0000,   2.3792,   0.0438
4440520000.0000,   2.3797,   0.0562
4500500000.0000,   2.5271,   0.0508
4560480000.0000,   2.5754,   0.0452
4620460000.0000,   2.4746,   0.0501
4680440000.0000,   2.3754,   0.0692
4740420000.0000,   2.4393,   0.0680
4800400000.0000,   2.5844,   0.0572
4860380000.0000,   2.5762,   0.0473
4920360000.0000,   2.4296,   0.0441
4980340000.0000,   2.3719,   0.0593
5040320000.0000,   2.4730,   0.0570
5100300000.0000,   2.5865,   0.0499
5160280000.0000,   2.5587,   0.0583
5220260000.0000,   2.4267,   0.0635
5280240000.0000,   2.4084,   0.0716
5340220000.0000,   2.5087,   0.0731
5400200000.0000,   2.5939,   0.0748
5460180000.0000,   2.5538,   0.0753
5520160000.0000,   2.4730,   0.0795
5580140000.0000,   2.4895,   0.0805
5640120000.0000,   2.5777,   0.0688
5700100000.0000,   2.5851,   0.0592
5760080000.0000,   2.4822,   0.0628
5820060000.0000,   2.3747,   0.0815
5880040000.0000,   2.4229,   0.0848
5940020000.0000,   2.5498,   0.0850
6000000000.0000,   2.5869,   0.0953
