85070 Dielectric Probe Software E07.02.29,,,
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title,,
Sub Title:,SubTitle,,
Date:,"Thursday, September 14, 2017 17:20:25",,
,,,
frequency,e',e''/e',
2000000,9999,1,9999
61980000,0.9102,0.2125,0.1934175
121960000,9999,1,9999
181940000,9999,1,9999
241920000,9999,1,9999
301900000,9999,1,9999
361880000,0.1837,-29.9481,-5.50146597
421860000,1.3109,-3.1967,-4.19055403
481840000,2.0862,-1.093,-2.2802166
541820000,2.3219,-0.2865,-0.66522435
601800000,2.4329,0.0194,0.04719826
661780000,2.7394,-0.0267,-0.07314198
721760000,3.3695,-0.175,-0.5896625
781740000,4.2259,-0.2681,-1.13296379
841720000,5.1924,-0.2664,-1.38325536
901700000,5.7215,-0.2016,-1.1534544
961680000,5.6156,-0.1151,-0.64635556
1021660000,4.7705,-0.0319,-0.15217895
1081640000,3.7131,0.0188,0.06980628
1141620000,2.9586,0.0161,0.04763346
1201600000,2.5899,-0.0128,-0.03315072
1261580000,2.458,0.0005,0.001229
1321560000,2.4512,0.0475,0.116432
1381540000,2.5245,0.1292,0.3261654
1441520000,2.5826,0.1794,0.46331844
1501500000,2.5904,0.183,0.4740432
1561480000,2.5509,0.1526,0.38926734
1621460000,2.5128,0.1123,0.28218744
1681440000,2.4926,0.0668,0.16650568
1741420000,2.497,0.0366,0.0913902
1801400000,2.5074,0.0142,0.03560508
1861380000,2.501,0.0058,0.0145058
1921360000,2.4692,0.0065,0.0160498
1981340000,2.4571,0.0079,0.01941109
2041320000,2.4899,0.012,0.0298788
2101300000,2.5271,0.0061,0.01541531
2161280000,2.5293,-0.0023,-0.00581739
2221260000,2.509,-0.0064,-0.0160576
2281240000,2.4873,-0.0052,-0.01293396
2341220000,2.5069,-0.0034,-0.00852346
2401200000,2.5047,-0.001,-0.0025047
2461180000,2.5064,0.0009,0.00225576
2521160000,2.4844,0.0028,0.00695632
2581140000,2.477,0.0051,0.0126327
2641120000,2.4947,0.0102,0.02544594
2701100000,2.5362,-0.0026,-0.00659412
2761080000,2.5533,-0.0069,-0.01761777
2821060000,2.5461,-0.0164,-0.04175604
2881040000,2.51,-0.0204,-0.051204
2941020000,2.5076,-0.0219,-0.05491644
3001000000,2.5194,-0.011,-0.0277134
3060980000,2.5318,0.0008,0.00202544
3120960000,2.5212,0.0096,0.02420352
3180940000,2.5006,0.0149,0.03725894
3240920000,2.5158,0.0125,0.0314475
3300900000,2.5304,0.0132,0.03340128
3360880000,2.5568,0.0048,0.01227264
3420860000,2.5482,-0.0132,-0.03363624
3480840000,2.5221,-0.0277,-0.06986217
3540820000,2.5171,-0.0382,-0.09615322
3600800000,2.556,-0.0261,-0.0667116
3660780000,2.5605,-0.0052,-0.0133146
3720760000,2.5221,0.014,0.0353094
3780740000,2.5171,0.0208,0.05235568
3840720000,2.5183,0.0226,0.05691358
3900700000,2.5624,0.0239,0.06124136
3960680000,2.5979,0.0202,0.05247758
4020660000,2.5917,0.0059,0.01529103
4080640000,2.5985,-0.0074,-0.0192289
4140620000,2.5879,-0.0099,-0.02562021
4200600000,2.6083,0.001,0.0026083
4260580000,2.597,0.0132,0.0342804
4320560000,2.5477,0.0168,0.04280136
4380540000,2.5286,0.0118,0.02983748
4440520000,2.5158,0.0234,0.05886972
4500500000,2.5661,0.0343,0.08801723
4560480000,2.5976,0.0332,0.08624032
4620460000,2.5968,0.0226,0.05868768
4680440000,2.5779,0.018,0.0464022
4740420000,2.5962,0.0189,0.04906818
4800400000,2.6364,0.0203,0.05351892
4860380000,2.6297,0.0176,0.04628272
4920360000,2.5806,0.0084,0.02167704
4980340000,2.5551,0.0173,0.04420323
5040320000,2.5665,0.0328,0.0841812
5100300000,2.5917,0.0435,0.11273895
5160280000,2.6108,0.0494,0.12897352
5220260000,2.5839,0.0521,0.13462119
5280240000,2.5767,0.05,0.128835
5340220000,2.5968,0.0513,0.13321584
5400200000,2.6384,0.0439,0.11582576
5460180000,2.6244,0.0329,0.08634276
5520160000,2.617,0.0204,0.0533868
5580140000,2.5924,0.0282,0.07310568
5640120000,2.5866,0.0426,0.11018916
5700100000,2.6023,0.0571,0.14859133
5760080000,2.594,0.0641,0.1662754
5820060000,2.5717,0.0697,0.17924749
5880040000,2.5806,0.0703,0.18141618
5940020000,2.6076,0.0669,0.17444844
6000000000,2.6353,0.0575,0.15152975
,2.54988642,0.024618519,0.063271555
