85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, September 13, 2017 17:45:06"

frequency,e',e''/e'
   2000000.0000,   6.9324,  -2.7787
  61980000.0000,   2.0805,   0.0189
 121960000.0000,   1.7981,  -0.0176
 181940000.0000,   1.7886,  -0.3262
 241920000.0000,   1.8783,  -0.5308
 301900000.0000,   1.9976,  -0.5886
 361880000.0000,   2.0840,  -0.4703
 421860000.0000,   2.2434,  -0.2600
 481840000.0000,   2.4268,  -0.0877
 541820000.0000,   2.5363,  -0.0144
 601800000.0000,   2.5513,  -0.0041
 661780000.0000,   2.5340,  -0.0297
 721760000.0000,   2.5931,  -0.0378
 781740000.0000,   2.6330,  -0.0787
 841720000.0000,   2.6835,  -0.1241
 901700000.0000,   2.7198,  -0.1561
 961680000.0000,   2.7194,  -0.1755
1021660000.0000,   2.6450,  -0.1376
1081640000.0000,   2.5857,  -0.0673
1141620000.0000,   2.5388,  -0.0132
1201600000.0000,   2.5185,   0.0113
1261580000.0000,   2.5114,   0.0057
1321560000.0000,   2.5471,   0.0050
1381540000.0000,   2.5947,  -0.0127
1441520000.0000,   2.6789,  -0.0229
1501500000.0000,   2.7461,  -0.0315
1561480000.0000,   2.7811,  -0.0408
1621460000.0000,   2.7472,  -0.0461
1681440000.0000,   2.6680,  -0.0430
1741420000.0000,   2.6056,  -0.0172
1801400000.0000,   2.5517,   0.0019
1861380000.0000,   2.5458,   0.0088
1921360000.0000,   2.5638,   0.0046
1981340000.0000,   2.5616,   0.0045
2041320000.0000,   2.5645,   0.0046
2101300000.0000,   2.6231,   0.0227
2161280000.0000,   2.6765,   0.0225
2221260000.0000,   2.6998,   0.0171
2281240000.0000,   2.6725,   0.0076
2341220000.0000,   2.6311,   0.0027
2401200000.0000,   2.5850,   0.0041
2461180000.0000,   2.5646,   0.0129
2521160000.0000,   2.5555,   0.0178
2581140000.0000,   2.5505,   0.0169
2641120000.0000,   2.5460,   0.0096
2701100000.0000,   2.5709,   0.0221
2761080000.0000,   2.5881,   0.0294
2821060000.0000,   2.6086,   0.0355
2881040000.0000,   2.6132,   0.0258
2941020000.0000,   2.6034,   0.0210
3001000000.0000,   2.5927,   0.0073
3060980000.0000,   2.5905,   0.0081
3120960000.0000,   2.5800,   0.0136
3180940000.0000,   2.5696,   0.0145
3240920000.0000,   2.5650,   0.0197
3300900000.0000,   2.5807,   0.0147
3360880000.0000,   2.6010,   0.0179
3420860000.0000,   2.6117,   0.0196
3480840000.0000,   2.6026,   0.0327
3540820000.0000,   2.6009,   0.0351
3600800000.0000,   2.6254,   0.0271
3660780000.0000,   2.6299,   0.0210
3720760000.0000,   2.6173,   0.0218
3780740000.0000,   2.5515,   0.0265
3840720000.0000,   2.5416,   0.0303
3900700000.0000,   2.5826,   0.0294
3960680000.0000,   2.6163,   0.0236
4020660000.0000,   2.5996,   0.0253
4080640000.0000,   2.5814,   0.0301
4140620000.0000,   2.5927,   0.0344
4200600000.0000,   2.6330,   0.0294
4260580000.0000,   2.6575,   0.0265
4320560000.0000,   2.6154,   0.0215
4380540000.0000,   2.5834,   0.0292
4440520000.0000,   2.5734,   0.0368
4500500000.0000,   2.6145,   0.0390
4560480000.0000,   2.6434,   0.0389
4620460000.0000,   2.6246,   0.0403
4680440000.0000,   2.5952,   0.0448
4740420000.0000,   2.6044,   0.0439
4800400000.0000,   2.6464,   0.0428
4860380000.0000,   2.6514,   0.0398
4920360000.0000,   2.6227,   0.0359
4980340000.0000,   2.6026,   0.0367
5040320000.0000,   2.6265,   0.0418
5100300000.0000,   2.6597,   0.0491
5160280000.0000,   2.6465,   0.0565
5220260000.0000,   2.6101,   0.0577
5280240000.0000,   2.6128,   0.0579
5340220000.0000,   2.6511,   0.0567
5400200000.0000,   2.6815,   0.0594
5460180000.0000,   2.6628,   0.0633
5520160000.0000,   2.6576,   0.0643
5580140000.0000,   2.6602,   0.0613
5640120000.0000,   2.6810,   0.0580
5700100000.0000,   2.6660,   0.0572
5760080000.0000,   2.6172,   0.0634
5820060000.0000,   2.5911,   0.0745
5880040000.0000,   2.6086,   0.0772
5940020000.0000,   2.6626,   0.0776
6000000000.0000,   2.6847,   0.0844
