85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, September 13, 2017 18:02:20"

frequency,e',e''/e'
   2000000.0000,  11.1274,  -1.4265
  61980000.0000,   7.5976,   0.2952
 121960000.0000,   6.6785,   0.2780
 181940000.0000,   6.3018,   0.2300
 241920000.0000,   6.1359,   0.1701
 301900000.0000,   5.9653,   0.1291
 361880000.0000,   5.8969,   0.1237
 421860000.0000,   5.8717,   0.1360
 481840000.0000,   5.8879,   0.1445
 541820000.0000,   5.8795,   0.1314
 601800000.0000,   5.8099,   0.1149
 661780000.0000,   5.7525,   0.1044
 721760000.0000,   5.6925,   0.1066
 781740000.0000,   5.6983,   0.1041
 841720000.0000,   5.7603,   0.0910
 901700000.0000,   5.7841,   0.0773
 961680000.0000,   5.7783,   0.0672
1021660000.0000,   5.7356,   0.0732
1081640000.0000,   5.6860,   0.0796
1141620000.0000,   5.6541,   0.0867
1201600000.0000,   5.6378,   0.0834
1261580000.0000,   5.6362,   0.0793
1321560000.0000,   5.6491,   0.0754
1381540000.0000,   5.6638,   0.0722
1441520000.0000,   5.6949,   0.0718
1501500000.0000,   5.7253,   0.0681
1561480000.0000,   5.7107,   0.0628
1621460000.0000,   5.6744,   0.0579
1681440000.0000,   5.6177,   0.0574
1741420000.0000,   5.5810,   0.0584
1801400000.0000,   5.6457,   0.0599
1861380000.0000,   5.6972,   0.0616
1921360000.0000,   5.7400,   0.0594
1981340000.0000,   5.7367,   0.0565
2041320000.0000,   5.7149,   0.0564
2101300000.0000,   5.7107,   0.0633
2161280000.0000,   5.7186,   0.0652
2221260000.0000,   5.7246,   0.0647
2281240000.0000,   5.7394,   0.0614
2341220000.0000,   5.7302,   0.0620
2401200000.0000,   5.7504,   0.0670
2461180000.0000,   5.7592,   0.0709
2521160000.0000,   5.7612,   0.0716
2581140000.0000,   5.7244,   0.0703
2641120000.0000,   5.6859,   0.0676
2701100000.0000,   5.6670,   0.0728
2761080000.0000,   5.6992,   0.0769
2821060000.0000,   5.7482,   0.0798
2881040000.0000,   5.7790,   0.0771
2941020000.0000,   5.7872,   0.0739
3001000000.0000,   5.7701,   0.0724
3060980000.0000,   5.7421,   0.0738
3120960000.0000,   5.7141,   0.0749
3180940000.0000,   5.6925,   0.0777
3240920000.0000,   5.7011,   0.0772
3300900000.0000,   5.7401,   0.0805
3360880000.0000,   5.7817,   0.0776
3420860000.0000,   5.8238,   0.0829
3480840000.0000,   5.8291,   0.0836
3540820000.0000,   5.8073,   0.0848
3600800000.0000,   5.7853,   0.0857
3660780000.0000,   5.7697,   0.0849
3720760000.0000,   5.7554,   0.0889
3780740000.0000,   5.7835,   0.0912
3840720000.0000,   5.8010,   0.0939
3900700000.0000,   5.8365,   0.0953
3960680000.0000,   5.8629,   0.0948
4020660000.0000,   5.8358,   0.0966
4080640000.0000,   5.7934,   0.1038
4140620000.0000,   5.7773,   0.1070
4200600000.0000,   5.7763,   0.1091
4260580000.0000,   5.8110,   0.1079
4320560000.0000,   5.7948,   0.1099
4380540000.0000,   5.8352,   0.1061
4440520000.0000,   5.8390,   0.1114
4500500000.0000,   5.8300,   0.1129
4560480000.0000,   5.8182,   0.1151
4620460000.0000,   5.7930,   0.1176
4680440000.0000,   5.7586,   0.1203
4740420000.0000,   5.7863,   0.1236
4800400000.0000,   5.8250,   0.1258
4860380000.0000,   5.8678,   0.1256
4920360000.0000,   5.8914,   0.1278
4980340000.0000,   5.8743,   0.1279
5040320000.0000,   5.8330,   0.1308
5100300000.0000,   5.8037,   0.1335
5160280000.0000,   5.7979,   0.1374
5220260000.0000,   5.8116,   0.1402
5280240000.0000,   5.8409,   0.1429
5340220000.0000,   5.8541,   0.1429
5400200000.0000,   5.8669,   0.1465
5460180000.0000,   5.8821,   0.1507
5520160000.0000,   5.8600,   0.1544
5580140000.0000,   5.8239,   0.1572
5640120000.0000,   5.8067,   0.1570
5700100000.0000,   5.7922,   0.1575
5760080000.0000,   5.8387,   0.1609
5820060000.0000,   5.8586,   0.1643
5880040000.0000,   5.8721,   0.1653
5940020000.0000,   5.8600,   0.1678
6000000000.0000,   5.8241,   0.1711
