85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, September 13, 2017 18:42:39"

frequency,e',e''/e'
   2000000.0000,  60.4527,   0.7514
  61980000.0000,  25.5436,   0.3749
 121960000.0000,  22.1439,   0.3101
 181940000.0000,  20.9931,   0.2445
 241920000.0000,  20.4260,   0.1919
 301900000.0000,  20.1031,   0.1598
 361880000.0000,  19.9099,   0.1429
 421860000.0000,  19.7726,   0.1347
 481840000.0000,  19.7445,   0.1234
 541820000.0000,  19.7086,   0.1112
 601800000.0000,  19.6543,   0.0999
 661780000.0000,  19.6031,   0.0944
 721760000.0000,  19.5797,   0.0911
 781740000.0000,  19.5523,   0.0880
 841720000.0000,  19.5623,   0.0848
 901700000.0000,  19.5461,   0.0794
 961680000.0000,  19.5072,   0.0761
1021660000.0000,  19.4962,   0.0734
1081640000.0000,  19.5029,   0.0741
1141620000.0000,  19.5005,   0.0741
1201600000.0000,  19.5005,   0.0722
1261580000.0000,  19.5057,   0.0692
1321560000.0000,  19.4580,   0.0659
1381540000.0000,  19.4238,   0.0634
1441520000.0000,  19.4830,   0.0605
1501500000.0000,  19.5934,   0.0605
1561480000.0000,  19.5949,   0.0607
1621460000.0000,  19.6417,   0.0562
1681440000.0000,  19.7272,   0.0591
1741420000.0000,  19.7584,   0.0622
1801400000.0000,  19.7639,   0.0655
1861380000.0000,  19.8029,   0.0675
1921360000.0000,  19.8271,   0.0687
1981340000.0000,  19.8303,   0.0698
2041320000.0000,  19.8274,   0.0728
2101300000.0000,  19.8287,   0.0749
2161280000.0000,  19.8430,   0.0771
2221260000.0000,  19.8441,   0.0786
2281240000.0000,  19.8461,   0.0798
2341220000.0000,  19.8076,   0.0821
2401200000.0000,  19.7413,   0.0842
2461180000.0000,  19.7281,   0.0873
2521160000.0000,  19.7133,   0.0867
2581140000.0000,  19.7149,   0.0857
2641120000.0000,  19.7335,   0.0858
2701100000.0000,  19.7354,   0.0859
2761080000.0000,  19.7636,   0.0871
2821060000.0000,  19.7838,   0.0886
2881040000.0000,  19.8060,   0.0888
2941020000.0000,  19.8146,   0.0884
3001000000.0000,  19.8259,   0.0890
3060980000.0000,  19.8374,   0.0909
3120960000.0000,  19.8693,   0.0926
3180940000.0000,  19.8910,   0.0945
3240920000.0000,  19.9276,   0.0953
3300900000.0000,  19.9555,   0.0965
3360880000.0000,  19.9797,   0.0988
3420860000.0000,  20.0115,   0.1011
3480840000.0000,  20.0444,   0.1041
3540820000.0000,  20.0628,   0.1072
3600800000.0000,  20.0790,   0.1084
3660780000.0000,  20.0810,   0.1107
3720760000.0000,  20.1151,   0.1139
3780740000.0000,  20.1169,   0.1169
3840720000.0000,  20.1317,   0.1205
3900700000.0000,  20.1521,   0.1238
3960680000.0000,  20.1736,   0.1264
4020660000.0000,  20.1609,   0.1303
4080640000.0000,  20.1700,   0.1350
4140620000.0000,  20.1628,   0.1384
4200600000.0000,  20.1181,   0.1411
4260580000.0000,  20.1132,   0.1440
4320560000.0000,  20.0493,   0.1462
4380540000.0000,  20.0880,   0.1480
4440520000.0000,  20.0397,   0.1507
4500500000.0000,  20.0139,   0.1527
4560480000.0000,  20.0120,   0.1549
4620460000.0000,  20.0188,   0.1563
4680440000.0000,  20.0245,   0.1581
4740420000.0000,  20.0184,   0.1610
4800400000.0000,  20.0219,   0.1640
4860380000.0000,  20.0261,   0.1659
4920360000.0000,  20.0368,   0.1680
4980340000.0000,  20.0340,   0.1698
5040320000.0000,  20.0102,   0.1733
5100300000.0000,  20.0008,   0.1775
5160280000.0000,  20.0057,   0.1792
5220260000.0000,  19.9908,   0.1826
5280240000.0000,  20.0026,   0.1849
5340220000.0000,  19.9847,   0.1869
5400200000.0000,  19.9789,   0.1902
5460180000.0000,  19.9828,   0.1942
5520160000.0000,  19.9610,   0.1967
5580140000.0000,  19.9379,   0.1995
5640120000.0000,  19.9504,   0.2015
5700100000.0000,  19.9157,   0.2038
5760080000.0000,  19.8837,   0.2090
5820060000.0000,  19.9008,   0.2110
5880040000.0000,  19.8735,   0.2135
5940020000.0000,  19.8616,   0.2170
6000000000.0000,  19.8246,   0.2203
