85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, September 13, 2017 18:15:18"

frequency,e',e''
   2000000.0000,9999.0000,9999.0000
  61980000.0000,   1.7769,  -0.4247
 121960000.0000,   1.6040,  -0.9791
 181940000.0000,   1.6756,  -1.6378
 241920000.0000,   1.8626,  -1.8833
 301900000.0000,   2.0532,  -1.7812
 361880000.0000,   2.2385,  -1.4792
 421860000.0000,   2.4617,  -0.9719
 481840000.0000,   2.6055,  -0.5091
 541820000.0000,   2.6702,  -0.1501
 601800000.0000,   2.6999,  -0.0230
 661780000.0000,   2.7424,  -0.0615
 721760000.0000,   2.8017,  -0.1870
 781740000.0000,   2.9071,  -0.3800
 841720000.0000,   2.9930,  -0.5958
 901700000.0000,   3.0387,  -0.7187
 961680000.0000,   3.0324,  -0.7240
1021660000.0000,   2.9633,  -0.5564
1081640000.0000,   2.8519,  -0.3289
1141620000.0000,   2.7696,  -0.1408
1201600000.0000,   2.7147,  -0.0338
1261580000.0000,   2.7224,   0.0040
1321560000.0000,   2.7755,  -0.0095
1381540000.0000,   2.9002,  -0.0500
1441520000.0000,   3.0453,  -0.1386
1501500000.0000,   3.1334,  -0.1946
1561480000.0000,   3.1495,  -0.2030
1621460000.0000,   3.0931,  -0.1861
1681440000.0000,   2.9947,  -0.1678
1741420000.0000,   2.9002,  -0.1168
1801400000.0000,   2.8195,  -0.0748
1861380000.0000,   2.7667,  -0.0301
1921360000.0000,   2.7620,   0.0054
1981340000.0000,   2.8129,   0.0325
2041320000.0000,   2.8818,   0.0920
2101300000.0000,   2.9283,   0.0977
2161280000.0000,   2.9782,   0.0954
2221260000.0000,   3.0045,   0.0829
2281240000.0000,   3.0061,   0.0749
2341220000.0000,   2.9668,   0.0541
2401200000.0000,   2.8839,   0.0528
2461180000.0000,   2.8292,   0.0360
2521160000.0000,   2.7910,   0.0336
2581140000.0000,   2.7802,   0.0340
2641120000.0000,   2.7818,   0.0394
2701100000.0000,   2.7690,   0.0784
2761080000.0000,   2.7999,   0.1060
2821060000.0000,   2.8284,   0.1211
2881040000.0000,   2.8486,   0.1156
2941020000.0000,   2.8481,   0.0998
3001000000.0000,   2.8238,   0.0661
3060980000.0000,   2.8117,   0.0533
3120960000.0000,   2.8020,   0.0360
3180940000.0000,   2.7934,   0.0354
3240920000.0000,   2.8037,   0.0362
3300900000.0000,   2.7959,   0.0409
3360880000.0000,   2.8088,   0.0524
3420860000.0000,   2.8308,   0.0668
3480840000.0000,   2.8582,   0.0707
3540820000.0000,   2.8514,   0.0785
3600800000.0000,   2.8656,   0.0783
3660780000.0000,   2.8427,   0.0720
3720760000.0000,   2.8168,   0.0737
3780740000.0000,   2.7979,   0.0714
3840720000.0000,   2.8140,   0.0790
3900700000.0000,   2.8346,   0.0693
3960680000.0000,   2.8297,   0.0777
4020660000.0000,   2.8421,   0.0838
4080640000.0000,   2.8563,   0.1055
4140620000.0000,   2.8580,   0.1024
4200600000.0000,   2.8586,   0.0877
4260580000.0000,   2.8602,   0.0906
4320560000.0000,   2.8795,   0.1051
4380540000.0000,   2.8701,   0.0835
4440520000.0000,   2.8501,   0.1164
4500500000.0000,   2.8591,   0.1082
4560480000.0000,   2.8522,   0.1190
4620460000.0000,   2.8692,   0.1228
4680440000.0000,   2.8602,   0.1399
4740420000.0000,   2.8674,   0.1383
4800400000.0000,   2.8729,   0.1282
4860380000.0000,   2.8794,   0.1277
4920360000.0000,   2.8663,   0.1203
4980340000.0000,   2.8903,   0.1327
5040320000.0000,   2.8834,   0.1255
5100300000.0000,   2.8620,   0.1332
5160280000.0000,   2.8573,   0.1517
5220260000.0000,   2.8657,   0.1693
5280240000.0000,   2.8880,   0.1739
5340220000.0000,   2.9020,   0.1824
5400200000.0000,   2.8997,   0.1881
5460180000.0000,   2.9355,   0.1889
5520160000.0000,   2.9358,   0.1966
5580140000.0000,   2.9467,   0.1946
5640120000.0000,   2.9203,   0.1898
5700100000.0000,   2.8881,   0.1905
5760080000.0000,   2.8690,   0.2146
5820060000.0000,   2.8506,   0.2328
5880040000.0000,   2.8765,   0.2296
5940020000.0000,   2.8968,   0.2444
6000000000.0000,   2.9186,   0.2701
