85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, September 13, 2017 18:33:36"

frequency,e',e''/e'
   2000000.0000,9999.0000,   1.0000
  61980000.0000,   2.3926,  -0.1503
 121960000.0000,   2.5814,  -0.0992
 181940000.0000,   2.5918,  -0.0878
 241920000.0000,   2.5729,  -0.0354
 301900000.0000,   2.5734,  -0.0369
 361880000.0000,   2.5856,  -0.0343
 421860000.0000,   2.6107,  -0.0188
 481840000.0000,   2.5995,  -0.0121
 541820000.0000,   2.6062,   0.0000
 601800000.0000,   2.5895,  -0.0047
 661780000.0000,   2.5984,  -0.0015
 721760000.0000,   2.5918,  -0.0023
 781740000.0000,   2.6098,  -0.0067
 841720000.0000,   2.5962,  -0.0111
 901700000.0000,   2.6132,  -0.0127
 961680000.0000,   2.5957,  -0.0100
1021660000.0000,   2.6095,  -0.0037
1081640000.0000,   2.6102,  -0.0118
1141620000.0000,   2.6112,  -0.0106
1201600000.0000,   2.6176,  -0.0031
1261580000.0000,   2.6219,  -0.0021
1321560000.0000,   2.6299,   0.0019
1381540000.0000,   2.6353,  -0.0066
1441520000.0000,   2.6301,  -0.0084
1501500000.0000,   2.6325,  -0.0120
1561480000.0000,   2.6362,  -0.0088
1621460000.0000,   2.6410,  -0.0031
1681440000.0000,   2.6453,  -0.0003
1741420000.0000,   2.6355,  -0.0085
1801400000.0000,   2.6353,   0.0002
1861380000.0000,   2.6270,  -0.0005
1921360000.0000,   2.6454,   0.0059
1981340000.0000,   2.6380,   0.0009
2041320000.0000,   2.6267,  -0.0146
2101300000.0000,   2.6522,  -0.0002
2161280000.0000,   2.6483,  -0.0043
2221260000.0000,   2.6547,  -0.0055
2281240000.0000,   2.6663,  -0.0065
2341220000.0000,   2.6835,  -0.0072
2401200000.0000,   2.6550,  -0.0037
2461180000.0000,   2.6648,  -0.0014
2521160000.0000,   2.6596,   0.0019
2581140000.0000,   2.6704,   0.0064
2641120000.0000,   2.6651,   0.0039
2701100000.0000,   2.6671,   0.0076
2761080000.0000,   2.6670,   0.0110
2821060000.0000,   2.6883,   0.0103
2881040000.0000,   2.6884,   0.0075
2941020000.0000,   2.6858,   0.0090
3001000000.0000,   2.6859,   0.0063
3060980000.0000,   2.6794,   0.0082
3120960000.0000,   2.6795,   0.0084
3180940000.0000,   2.6747,   0.0072
3240920000.0000,   2.6908,   0.0098
3300900000.0000,   2.6713,   0.0093
3360880000.0000,   2.6868,   0.0105
3420860000.0000,   2.7032,   0.0144
3480840000.0000,   2.7181,   0.0147
3540820000.0000,   2.7450,   0.0155
3600800000.0000,   2.7121,   0.0201
3660780000.0000,   2.7042,   0.0211
3720760000.0000,   2.7174,   0.0229
3780740000.0000,   2.7079,   0.0165
3840720000.0000,   2.6995,   0.0196
3900700000.0000,   2.7033,   0.0235
3960680000.0000,   2.7101,   0.0232
4020660000.0000,   2.7128,   0.0262
4080640000.0000,   2.7204,   0.0271
4140620000.0000,   2.7256,   0.0234
4200600000.0000,   2.7174,   0.0253
4260580000.0000,   2.7203,   0.0291
4320560000.0000,   2.7096,   0.0295
4380540000.0000,   2.7643,   0.0274
4440520000.0000,   2.7369,   0.0352
4500500000.0000,   2.7340,   0.0347
4560480000.0000,   2.7307,   0.0375
4620460000.0000,   2.7474,   0.0421
4680440000.0000,   2.7282,   0.0432
4740420000.0000,   2.7382,   0.0410
4800400000.0000,   2.7247,   0.0419
4860380000.0000,   2.7369,   0.0403
4920360000.0000,   2.7380,   0.0399
4980340000.0000,   2.7555,   0.0435
5040320000.0000,   2.7569,   0.0452
5100300000.0000,   2.7473,   0.0441
5160280000.0000,   2.7449,   0.0460
5220260000.0000,   2.7497,   0.0521
5280240000.0000,   2.7599,   0.0546
5340220000.0000,   2.7696,   0.0560
5400200000.0000,   2.7634,   0.0571
5460180000.0000,   2.7606,   0.0634
5520160000.0000,   2.7581,   0.0618
5580140000.0000,   2.7596,   0.0600
5640120000.0000,   2.7652,   0.0640
5700100000.0000,   2.7568,   0.0628
5760080000.0000,   2.7486,   0.0653
5820060000.0000,   2.7584,   0.0643
5880040000.0000,   2.7624,   0.0668
5940020000.0000,   2.7688,   0.0742
6000000000.0000,   2.7652,   0.0753
