85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, September 13, 2017 17:55:01"

frequency,e',e''/e'
   2000000.0000,  19.4170,   0.0328
  61980000.0000,  19.9194,   0.2230
 121960000.0000,  17.9632,   0.2414
 181940000.0000,  17.0915,   0.2179
 241920000.0000,  16.4705,   0.1832
 301900000.0000,  16.1089,   0.1569
 361880000.0000,  15.8131,   0.1396
 421860000.0000,  15.6676,   0.1273
 481840000.0000,  15.5936,   0.1090
 541820000.0000,  15.5370,   0.0913
 601800000.0000,  15.4692,   0.0783
 661780000.0000,  15.3781,   0.0730
 721760000.0000,  15.3515,   0.0748
 781740000.0000,  15.3247,   0.0801
 841720000.0000,  15.3249,   0.0818
 901700000.0000,  15.2954,   0.0806
 961680000.0000,  15.2916,   0.0752
1021660000.0000,  15.2915,   0.0689
1081640000.0000,  15.2815,   0.0656
1141620000.0000,  15.2968,   0.0609
1201600000.0000,  15.3253,   0.0553
1261580000.0000,  15.2935,   0.0498
1321560000.0000,  15.3198,   0.0447
1381540000.0000,  15.3187,   0.0477
1441520000.0000,  15.3397,   0.0549
1501500000.0000,  15.3182,   0.0575
1561480000.0000,  15.3634,   0.0547
1621460000.0000,  15.4098,   0.0547
1681440000.0000,  15.4121,   0.0546
1741420000.0000,  15.4386,   0.0554
1801400000.0000,  15.4790,   0.0565
1861380000.0000,  15.5220,   0.0551
1921360000.0000,  15.5162,   0.0551
1981340000.0000,  15.4723,   0.0542
2041320000.0000,  15.4383,   0.0576
2101300000.0000,  15.4212,   0.0590
2161280000.0000,  15.4292,   0.0594
2221260000.0000,  15.4425,   0.0602
2281240000.0000,  15.4678,   0.0602
2341220000.0000,  15.4753,   0.0613
2401200000.0000,  15.4885,   0.0622
2461180000.0000,  15.5319,   0.0638
2521160000.0000,  15.5673,   0.0636
2581140000.0000,  15.5710,   0.0633
2641120000.0000,  15.5596,   0.0633
2701100000.0000,  15.5445,   0.0630
2761080000.0000,  15.5380,   0.0646
2821060000.0000,  15.5558,   0.0660
2881040000.0000,  15.5810,   0.0656
2941020000.0000,  15.6172,   0.0645
3001000000.0000,  15.6498,   0.0655
3060980000.0000,  15.6987,   0.0675
3120960000.0000,  15.7518,   0.0704
3180940000.0000,  15.8037,   0.0727
3240920000.0000,  15.8293,   0.0755
3300900000.0000,  15.8379,   0.0776
3360880000.0000,  15.8152,   0.0804
3420860000.0000,  15.8007,   0.0835
3480840000.0000,  15.8093,   0.0861
3540820000.0000,  15.8395,   0.0876
3600800000.0000,  15.8313,   0.0887
3660780000.0000,  15.8442,   0.0899
3720760000.0000,  15.8778,   0.0932
3780740000.0000,  15.8982,   0.0954
3840720000.0000,  15.9261,   0.0973
3900700000.0000,  15.9353,   0.1002
3960680000.0000,  15.9364,   0.1017
4020660000.0000,  15.9056,   0.1054
4080640000.0000,  15.9095,   0.1089
4140620000.0000,  15.9069,   0.1118
4200600000.0000,  15.8925,   0.1132
4260580000.0000,  15.8982,   0.1152
4320560000.0000,  15.9608,   0.1154
4380540000.0000,  15.9136,   0.1170
4440520000.0000,  15.9252,   0.1199
4500500000.0000,  15.9434,   0.1211
4560480000.0000,  15.9690,   0.1224
4620460000.0000,  15.9711,   0.1235
4680440000.0000,  15.9991,   0.1268
4740420000.0000,  16.0138,   0.1303
4800400000.0000,  16.0273,   0.1340
4860380000.0000,  16.0343,   0.1384
4920360000.0000,  16.0458,   0.1424
4980340000.0000,  16.0516,   0.1459
5040320000.0000,  16.0240,   0.1499
5100300000.0000,  16.0112,   0.1537
5160280000.0000,  15.9904,   0.1557
5220260000.0000,  15.9786,   0.1577
5280240000.0000,  16.0003,   0.1588
5340220000.0000,  15.9924,   0.1612
5400200000.0000,  15.9802,   0.1660
5460180000.0000,  15.9712,   0.1704
5520160000.0000,  15.9545,   0.1741
5580140000.0000,  15.9478,   0.1787
5640120000.0000,  15.9521,   0.1809
5700100000.0000,  15.9239,   0.1833
5760080000.0000,  15.9025,   0.1880
5820060000.0000,  15.9064,   0.1895
5880040000.0000,  15.8759,   0.1921
5940020000.0000,  15.8668,   0.1955
6000000000.0000,  15.8223,   0.1976
