85070 Dielectric Probe Software E07.02.29,,,,,frequency,e',e''/e'
Keysight Technologies,N9923A,MY51491690,A.08.17,,2000000,16.7777,1.5693
Title:,Title,,,,61980000,16.3562,0.0672
Sub Title:,SubTitle,,,,121960000,16.324,0.0368
Date:,"Thursday, September 28, 2017 14:01:22",,,,181940000,16.0834,0.0284
,,,,,241920000,15.9161,0.0137
,,,,,301900000,15.7845,0.0016
,,,,,361880000,15.7986,-0.0126
,,,,,421860000,15.9619,-0.0174
,,,,,481840000,16.2101,-0.0153
,,,,,541820000,16.3428,-0.0008
,,,,,601800000,16.3808,0.0147
,,,,,661780000,16.3606,0.0241
,,,,,721760000,16.4204,0.0281
,,,,,781740000,16.5093,0.0237
,,,,,841720000,16.6319,0.0158
,,,,,901700000,16.7535,0.0098
,,,,,961680000,16.8589,0.0057
,,,,,1021660000,16.8936,0.0064
,,,,,1081640000,16.8278,0.01
,,,,,1141620000,16.6909,0.0122
,,,,,1201600000,16.5587,0.0154
,,,,,1261580000,16.4135,0.0199
,,,,,1321560000,16.2938,0.0257
,,,,,1381540000,16.2391,0.0308
,,,,,1441520000,16.3215,0.0321
,,,,,1501500000,16.4562,0.0296
,,,,,1561480000,16.5685,0.0291
,,,,,1621460000,16.6169,0.031
,,,,,1681440000,16.6402,0.0306
,,,,,1741420000,16.718,0.0275
,,,,,1801400000,16.7554,0.024
,,,,,1861380000,16.7065,0.0217
,,,,,1921360000,16.5698,0.0224
,,,,,1981340000,16.5108,0.0234
,,,,,2041320000,16.5585,0.0298
,,,,,2101300000,16.6455,0.0296
,,,,,2161280000,16.7248,0.0307
,,,,,2221260000,16.7424,0.033
,,,,,2281240000,16.819,0.0386
,,,,,2341220000,16.9085,0.045
,,,,,2401200000,16.9851,0.0469
,,,,,2461180000,17.0174,0.0453
,,,,,2521160000,16.9538,0.0431
,,,,,2581140000,16.8668,0.0446
,,,,,2641120000,16.8567,0.047
,,,,,2701100000,16.9137,0.0503
,,,,,2761080000,16.9773,0.0525
,,,,,2821060000,17.0046,0.0537
,,,,,2881040000,17.0021,0.0577
,,,,,2941020000,17.0476,0.0644
,,,,,3001000000,17.1201,0.0713
,,,,,3060980000,17.1376,0.0745
,,,,,3120960000,17.0812,0.0743
,,,,,3180940000,17.0225,0.0734
,,,,,3240920000,17.0202,0.076
,,,,,3300900000,17.0454,0.0807
,,,,,3360880000,17.0075,0.0867
,,,,,3420860000,16.9249,0.0894
,,,,,3480840000,16.893,0.0883
,,,,,3540820000,16.9702,0.0865
,,,,,3600800000,17.1044,0.0868
,,,,,3660780000,17.0806,0.0906
,,,,,3720760000,17.02,0.0973
,,,,,3780740000,16.9646,0.1003
,,,,,3840720000,16.9908,0.0995
,,,,,3900700000,16.9866,0.0976
,,,,,3960680000,16.9042,0.0982
,,,,,4020660000,16.8408,0.1024
,,,,,4080640000,16.9501,0.1041
,,,,,4140620000,17.1399,0.103
,,,,,4200600000,17.1562,0.101
,,,,,4260580000,17.0516,0.1043
,,,,,4320560000,17.0127,0.1084
,,,,,4380540000,17.1271,0.1091
,,,,,4440520000,17.2683,0.1091
,,,,,4500500000,17.2231,0.1088
,,,,,4560480000,17.0774,0.1147
,,,,,4620460000,17.0811,0.1228
,,,,,4680440000,17.2545,0.127
,,,,,4740420000,17.3793,0.1274
,,,,,4800400000,17.249,0.1288
,,,,,4860380000,17.0998,0.1314
,,,,,4920360000,17.1765,0.1358
,,,,,4980340000,17.4027,0.1373
,,,,,5040320000,17.4967,0.1358
,,,,,5100300000,17.2938,0.1381
,,,,,5160280000,17.0776,0.143
,,,,,5220260000,17.1354,0.1489
,,,,,5280240000,17.3135,0.1527
,,,,,5340220000,17.2857,0.1556
,,,,,5400200000,17.1296,0.1607
,,,,,5460180000,17.1351,0.1671
,,,,,5520160000,17.3494,0.1707
,,,,,5580140000,17.5714,0.174
,,,,,5640120000,17.5152,0.1736
,,,,,5700100000,17.2437,0.1726
,,,,,5760080000,17.2093,0.1736
,,,,,5820060000,17.3735,0.1731
,,,,,5880040000,17.3825,0.1709
,,,,,5940020000,17.1683,0.174
,,,,,6000000000,16.9351,0.18
