85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Tuesday, September 19, 2017 14:05:57"

frequency,e',e''/e'
   2000000.0000,   3.9804,  -2.1802
  61980000.0000,   2.4098,   0.0531
 121960000.0000,   2.2749,   0.0553
 181940000.0000,   2.2951,   0.0618
 241920000.0000,   2.2621,   0.0646
 301900000.0000,   2.2638,   0.0490
 361880000.0000,   2.2140,   0.0529
 421860000.0000,   2.1538,   0.0641
 481840000.0000,   2.1308,   0.0699
 541820000.0000,   2.1495,   0.0718
 601800000.0000,   2.1609,   0.0688
 661780000.0000,   2.1503,   0.0556
 721760000.0000,   2.1246,   0.0552
 781740000.0000,   2.0986,   0.0565
 841720000.0000,   2.0987,   0.0587
 901700000.0000,   2.1109,   0.0454
 961680000.0000,   2.0582,   0.0373
1021660000.0000,   2.0276,   0.0386
1081640000.0000,   2.0274,   0.0405
1141620000.0000,   2.0675,   0.0490
1201600000.0000,   2.0889,   0.0470
1261580000.0000,   2.0906,   0.0459
1321560000.0000,   2.0428,   0.0348
1381540000.0000,   2.0387,   0.0520
1441520000.0000,   2.0785,   0.0453
1501500000.0000,   2.0882,   0.0451
1561480000.0000,   2.0859,   0.0397
1621460000.0000,   2.0642,   0.0527
1681440000.0000,   2.0528,   0.0358
1741420000.0000,   2.0773,   0.0419
1801400000.0000,   2.0915,   0.0403
1861380000.0000,   2.0879,   0.0377
1921360000.0000,   2.0456,   0.0426
1981340000.0000,   2.0362,   0.0405
2041320000.0000,   2.0776,   0.0571
2101300000.0000,   2.0923,   0.0450
2161280000.0000,   2.0966,   0.0415
2221260000.0000,   2.0688,   0.0401
2281240000.0000,   2.0484,   0.0435
2341220000.0000,   2.0680,   0.0471
2401200000.0000,   2.0810,   0.0396
2461180000.0000,   2.0733,   0.0450
2521160000.0000,   2.0481,   0.0425
2581140000.0000,   2.0279,   0.0446
2641120000.0000,   2.0504,   0.0360
2701100000.0000,   2.0890,   0.0397
2761080000.0000,   2.0852,   0.0376
2821060000.0000,   2.0674,   0.0443
2881040000.0000,   2.0392,   0.0412
2941020000.0000,   2.0482,   0.0470
3001000000.0000,   2.0838,   0.0414
3060980000.0000,   2.1090,   0.0404
3120960000.0000,   2.0949,   0.0444
3180940000.0000,   2.0792,   0.0451
3240920000.0000,   2.0890,   0.0433
3300900000.0000,   2.1117,   0.0535
3360880000.0000,   2.1183,   0.0457
3420860000.0000,   2.0824,   0.0500
3480840000.0000,   2.0727,   0.0484
3540820000.0000,   2.0897,   0.0544
3600800000.0000,   2.1346,   0.0506
3660780000.0000,   2.1330,   0.0512
3720760000.0000,   2.1197,   0.0534
3780740000.0000,   2.0808,   0.0601
3840720000.0000,   2.0770,   0.0627
3900700000.0000,   2.1080,   0.0623
3960680000.0000,   2.1105,   0.0629
4020660000.0000,   2.0792,   0.0697
4080640000.0000,   2.0657,   0.0686
4140620000.0000,   2.0622,   0.0670
4200600000.0000,   2.0944,   0.0626
4260580000.0000,   2.1093,   0.0626
4320560000.0000,   2.1105,   0.0597
4380540000.0000,   2.0705,   0.0629
4440520000.0000,   2.0707,   0.0618
4500500000.0000,   2.0945,   0.0673
4560480000.0000,   2.1249,   0.0644
4620460000.0000,   2.1238,   0.0608
4680440000.0000,   2.1139,   0.0677
4740420000.0000,   2.0881,   0.0654
4800400000.0000,   2.1099,   0.0673
4860380000.0000,   2.1197,   0.0658
4920360000.0000,   2.0861,   0.0675
4980340000.0000,   2.0790,   0.0697
5040320000.0000,   2.0858,   0.0718
5100300000.0000,   2.1290,   0.0684
5160280000.0000,   2.1447,   0.0727
5220260000.0000,   2.1317,   0.0736
5280240000.0000,   2.0989,   0.0794
5340220000.0000,   2.0860,   0.0839
5400200000.0000,   2.0950,   0.0919
5460180000.0000,   2.1198,   0.0911
5520160000.0000,   2.1139,   0.0878
5580140000.0000,   2.0921,   0.0933
5640120000.0000,   2.0918,   0.0956
5700100000.0000,   2.1182,   0.0955
5760080000.0000,   2.1289,   0.0965
5820060000.0000,   2.0877,   0.0941
5880040000.0000,   2.0698,   0.0964
5940020000.0000,   2.0581,   0.0972
6000000000.0000,   2.0840,   0.0989
